county_name,jurisdiction,precinct_id,precinct,name,address
COAL,COAL,150006,COAL COUNTY PRECINCT 150006,VALLEY INSURANCE BUILDING,"17 N MAIN STREET, COALGATE, OK 74538"
COMANCHE,COMANCHE,160021,COMANCHE COUNTY PRECINCT 160021,BETHLEHEM BAPTIST CHURCH,"602 NW ARLINGTON AVE, LAWTON, OK 73507"
COMANCHE,COMANCHE,160026,COMANCHE COUNTY PRECINCT 160026,IMMANUEL BAPTIST CHURCH,"1314 SW 11 ST, LAWTON, OK 73501"
COTTON,COTTON,170004,COTTON COUNTY PRECINCT 170004,CALVARY BAPTIST CHURCH,"601 E. INDIANA ST., WALTERS, OK 73572"
COTTON,COTTON,170011,COTTON COUNTY PRECINCT 170011,RANDLETT COMMUNITY BUILDING,"RANDLETT COMMUNITY BUILDING, RANDLETT, OK 73562"
CRAIG,CRAIG,180520,CRAIG COUNTY PRECINCT 180520,WHITE OAK BAPTIST CHURCH,"154 KENNEDY ST, WHITE OAK, VINITA, OK 74301"
CRAIG,CRAIG,180910,CRAIG COUNTY PRECINCT 180910,COMMUNITY OF CHRIST ,"HOPE AVE, VINITA, OK 74301"
CREEK,CREEK,190142,CREEK COUNTY PRECINCT 190142,EPISCOPAL CHURCH,"1420 E. DEWEY, SAPULPA, OK 74066"
CREEK,CREEK,190143,CREEK COUNTY PRECINCT 190143,NAZARENE CHURCH,"302 S. ELM, SAPULPA, OK 74066"
CREEK,CREEK,190241,CREEK COUNTY PRECINCT 190241,ST. JOSEPHS CATHOLIC CHURCH,"308 N. ELM, BRISTOW, BRISTOW, OK 74010"
CREEK,CREEK,190420,CREEK COUNTY PRECINCT 190420,CANYON ROAD BAPTIST CHURCH,"8550 S 49TH WEST AVE, TULSA, OK 74131"
CUSTER,CUSTER,200023,CUSTER COUNTY PRECINCT 200023,THOMAS SENIOR CITIZENS' CENTER,"101 1/2 NORTH MISSOURI, THOMAS, OK 73669"
DELAWARE,DELAWARE,210015,DELAWARE COUNTY PRECINCT 210015,TOPSY ASSEMBLY OF GOD CHURCH,"40867 S 510 RD, EUCHA, OK 74342"
DEWEY,DEWEY,220002,DEWEY COUNTY PRECINCT 220002,PUTNAM SENIOR CITIZENS CENTER,"HI-WAY 183, PUTNAM, OK., PUTNAM, OK 73659"
DEWEY,DEWEY,220010,DEWEY COUNTY PRECINCT 220010,FAY SCHOOL,"--, FAY, OK 73646"
ELLIS,ELLIS,230007,ELLIS COUNTY PRECINCT 230007,GAGE LIBRARY,"510 N MAIN ST, GAGE, OK 73843"
GARFIELD,GARFIELD,240104,GARFIELD COUNTY PRECINCT 240104,GANTZ CENTER ROOM #100,"100 S UNIVERSITY AVE, ENID, OK 73701"
GARFIELD,GARFIELD,240206,GARFIELD COUNTY PRECINCT 240206,CHISHOLM TRAIL EXPO CENTER,"111 W PURDUE, ENID, OK 73701"
GARFIELD,GARFIELD,240211,GARFIELD COUNTY PRECINCT 240211,KREMLIN COMM UNITED METHODIST ,"403 S 5TH, KREMLIN, OK 73753"
GARVIN,GARVIN,250009,GARVIN COUNTY PRECINCT 250009,ELMORE CITY COMMUNITY CENTER,"104 SOUTH MAIN, ELMORE CITY, OK 73433"
GARVIN,GARVIN,250013,GARVIN COUNTY PRECINCT 250013,HENNEPIN COMMUNITY BUILDING,"33789 N CR 3173, HENNEPIN, OK 73444"
GRADY,GRADY,260028,GRADY COUNTY PRECINCT 260028,MIDDLEBERG SCHOOL,"2130 CR 1317, BLANCHARD, OK 73010"
GRADY,GRADY,260032,GRADY COUNTY PRECINCT 260032,NINNEKAH TOWN HALL,"301 N OLD HWY 81, NINNEKAH, OK 73067"
GRADY,GRADY,260039,GRADY COUNTY PRECINCT 260039,CROSSROAD TO LIFE BAPTIST CH,"1496 CS 2980, BLANCHARD, OK 73010"
GRANT,GRANT,270017,GRANT COUNTY PRECINCT 270017,NASH FIRE STATION CLASSROOM,"115 N. MAIN, NASH, OK 73761"
HARMON,HARMON,290204,HARMON COUNTY PRECINCT 290204,CIVIC CENTER,"208 WEST JONES, HOLLIS, OK 73550"
HARMON,HARMON,290301,HARMON COUNTY PRECINCT 290301,CIVIC CENTER,"208 WEST JONES, HOLLIS, OK 73550"
HARMON,HARMON,290302,HARMON COUNTY PRECINCT 290302,GOULD COMMUNITY BUILDING,"104 S. KENNEDY, GOULD, OK 73544"
HASKELL,HASKELL,310007,HASKELL COUNTY PRECINCT 310007,MCCURTAIN SR. CITIZENS BLDG.,"SOUTH SIDE, HWY. 31, MCCURTAIN, OK 74944"
HASKELL,HASKELL,310032,HASKELL COUNTY PRECINCT 310032,KINTA COMMUNITY CENTER,"SO. SIDE, HWY. 31, KINTA, OK 74552"
JEFFERSON,JEFFERSON,340002,JEFFERSON COUNTY PRECINCT 340002,JEFFERSON COUNTY FAIR BARN,"802 EAST D STREET, WAURIKA, OK 73573"
JEFFERSON,JEFFERSON,340008,JEFFERSON COUNTY PRECINCT 340008,JEFFERSON COUNTY FAIR BARN,"802 EAST D STREET, WAURIKA, OK 73573"
KAY,KAY,360205,KAY COUNTY PRECINCT 360205,FIRST BAPTIST CHURCH,"1ST & BRIDGE, BLACKWELL, OK 74631"
KAY,KAY,360401,KAY COUNTY PRECINCT 360401,CHRIST'S CHURCH,"1001 S. BOAZ, NEWKIRK, OK 74647"
KAY,KAY,360406,KAY COUNTY PRECINCT 360406,BRAMAN TOWN HALL,"302 BROADWAY, BRAMAN, OK 74632"
KAY,KAY,360420,KAY COUNTY PRECINCT 360420,RANCH DRIVE VOL. FIRE DEPT.,"3454 S. RANCH DRIVE, PONCA CITY, OK 74601"
KAY,KAY,360503,KAY COUNTY PRECINCT 360503,VICTORY WORSHIP CENTER,"618 EAST HARTFORD AVE, PONCA CITY, OK 74601"
KAY,KAY,360507,KAY COUNTY PRECINCT 360507,FIRST CHURCH OF GOD,"1101 WEST GRAND AVE, PONCA CITY, OK 74601"
KINGFISHER,KINGFISHER,370302,KINGFISHER COUNTY PRECINCT 370302,OKARCHE HIGH SCHOOL,"632 W. OKLAHOMA., OKARCHE, OK 73762"
KIOWA,KIOWA,380009,KIOWA COUNTY PRECINCT 380009,HOBART SCHOOL ADM. BLDG.,"321 N. JEFFERSON, HOBART, OK 73651"
KIOWA,KIOWA,380015,KIOWA COUNTY PRECINCT 380015,ROOSEVELT SENIOR CITIZEN,"401 SOUTH MAIN, ROOSEVELT, OK 73564"
KIOWA,KIOWA,380016,KIOWA COUNTY PRECINCT 380016,ROOSEVELT SENIOR CITIZEN,"401 SOUTH MAIN, ROOSEVELT, OK 73564"
LATIMER,LATIMER,390007,LATIMER COUNTY PRECINCT 390007,USWV COLONY ADMINISTRATION ,"831 SE 172ND RD, WILBURTON, OK 74578"
LATIMER,LATIMER,390010,LATIMER COUNTY PRECINCT 390010,PANOLA SCHOOL,"5558 NE 104 RD, WILBURTON, OK 74578"
LEFLORE,LEFLORE,400101,LEFLORE COUNTY PRECINCT 400101,TUCKER COMMUNITY BLDG.,"15335 RHINO RD, TUCKER, OK 74941"
LEFLORE,LEFLORE,400110,LEFLORE COUNTY PRECINCT 400110,PANAMA SR. CITIZENS BLDG.,"309 MAIN ST, PANAMA, OK 74951"
LEFLORE,LEFLORE,400203,LEFLORE COUNTY PRECINCT 400203,BOB LEE KIDD III CIVIC CENTER,"101 PIRATE LANE-POTEAU, POTEAU, OK 74953"
LEFLORE,LEFLORE,400301,LEFLORE COUNTY PRECINCT 400301,CLARK CHAPMAN COMM. CENTER,"301 FIRST ST- TALIHINA, TALIHINA, OK 74571"
LEFLORE,LEFLORE,400304,LEFLORE COUNTY PRECINCT 400304,OCTAVIA BAPT CH FELLSHIP HALL,"68623 US HWY 259, OCTAVIA, OK 74957"
LINCOLN,LINCOLN,410001,LINCOLN COUNTY PRECINCT 410001,STROUD CITY HALL,"220 W. 2ND ST, STROUD, OK 74079"
LINCOLN,LINCOLN,410012,LINCOLN COUNTY PRECINCT 410012,FIRST ASSEMBLY OF GOD CHURCH,"1/2 MI WEST OF WALMART, ON HWY 66, CHANDLER, OK 74834"
LINCOLN,LINCOLN,410017,LINCOLN COUNTY PRECINCT 410017,SPARKS COMMUNITY BUILDING,"1 BLOCK N. OF POST OFFICE, SPARKS, OK 74869"
LINCOLN,LINCOLN,410022,LINCOLN COUNTY PRECINCT 410022,PRAGUE FIRE DEPT. TRAIN. CTR.,"1115 N. JIM THORPE BLVD., PRAGUE, OK 74864"
LOGAN,LOGAN,420308,LOGAN COUNTY PRECINCT 420308,FIRST ASSEMBLY OF GOD CHURCH,"1900 S. DIVISION, GUTHRIE, OK 73044"
LOVE,LOVE,430205,LOVE COUNTY PRECINCT 430205,TURNER SCHOOL AUDITORIUM,"HIGHWAY 32 WEST, BURNEYVILLE, OK 73430"
MCCLAIN,MCCLAIN,440002,MCCLAIN COUNTY PRECINCT 440002,ROSEDALE FIRST BAPTIST CHURCH,"37740 ARKANSAS AVE, BYARS, OK 74831"
MCCLAIN,MCCLAIN,440012,MCCLAIN COUNTY PRECINCT 440012,BLANCHARD PUBLIC LIBRARY,"205 NE 10TH STREET, BLANCHARD, OK 73010"
MCCLAIN,MCCLAIN,440021,MCCLAIN COUNTY PRECINCT 440021,PURCELL FIRST BAPTIST CHURCH,"400 MAIN ST, PURCELL, OK 73080"
MCCURTAIN,MCCURTAIN,450020,MCCURTAIN COUNTY PRECINCT 450020,CHAPEL OF THE PINES CHURCH,"7 MI N BBOW ON HWY 259, HOCHATOWN, BROKEN BOW, OK 74728"
MCINTOSH,MCINTOSH,460102,MCINTOSH COUNTY PRECINCT 460102,CHURCH OF CHRIST,"309 E. GENTRY, CHECOTAH, OK 74426"
MCINTOSH,MCINTOSH,460205,MCINTOSH COUNTY PRECINCT 460205,TEXANNA FIRE DEPARTMENT,"TEXANNA ROAD, EUFAULA, OK 74432"
MARSHALL,MARSHALL,480302,MARSHALL COUNTY PRECINCT 480302,KINGSTON SR. CITIZ. & COMM. BL,"14 S. MAIN, KINGSTON, OK 73439"
MAYES,MAYES,490012,MAYES COUNTY PRECINCT 490012,ADAIR TOWN HALL,"533 E MAIN ST, SUITE #4, ADAIR, OK 74330"
MAYES,MAYES,490037,MAYES COUNTY PRECINCT 490037,1ST UNITED METHODIST LG,"703 N HIGHWAY 82, LOCUST GROVE, OK 74352"
MAYES,MAYES,490038,MAYES COUNTY PRECINCT 490038,1ST UNITED METHODIST LG,"703 N HIGHWAY 82, LOCUST GROVE, OK 74352"
MAYES,MAYES,490101,MAYES COUNTY PRECINCT 490101,FIRST CHRISTIAN CHURCH YTH CTR,"105 N VANN ST, PRYOR, OK 74361"
MAYES,MAYES,490132,MAYES COUNTY PRECINCT 490132,PRYOR CHURCH OF CHRIST,"605 S COO-Y-YAH ST, PRYOR, OK 74361"
MUSKOGEE,MUSKOGEE,510007,MUSKOGEE COUNTY PRECINCT 510007,EASTERN HEIGHTS BAPTIST CHURCH,"2401 HASKELL BLVD, MUSKOGEE, OK 74403"
MUSKOGEE,MUSKOGEE,510011,MUSKOGEE COUNTY PRECINCT 510011,SALVATION ARMY,"700 INDEPENDENCE, MUSKOGEE, OK 74403"
MUSKOGEE,MUSKOGEE,510013,MUSKOGEE COUNTY PRECINCT 510013,YORK ST CHRISTIAN CHURCH,"1125 S YORK, MUSKOGEE, OK 74403"
MUSKOGEE,MUSKOGEE,510044,MUSKOGEE COUNTY PRECINCT 510044,EMMANUEL PENTECOSTAL CHURCH,"100 BUCE ST, BRAGGS, OK 74423"
MUSKOGEE,MUSKOGEE,510046,MUSKOGEE COUNTY PRECINCT 510046,FIRST ASSEMBLY OF GOD CHURCH,"3100 GULICK, MUSKOGEE, OK 74403"
MUSKOGEE,MUSKOGEE,510047,MUSKOGEE COUNTY PRECINCT 510047,LIFEPOINT CHURCH,"2200 S 32 ST, MUSKOGEE, OK 74401"
MUSKOGEE,MUSKOGEE,510061,MUSKOGEE COUNTY PRECINCT 510061,SUMMIT FIRST BAPTIST CHURCH,"1ST & BROADWAY, SUMMIT, OK 74401"
OKFUSKEE,OKFUSKEE,540208,OKFUSKEE COUNTY PRECINCT 540208,CITIZENS STATE BANK,"323 WEST BROADWAY, OKEMAH, OK 74859"
OKFUSKEE,OKFUSKEE,540314,OKFUSKEE COUNTY PRECINCT 540314,UNITED PENTECOSTAL CHURCH,"104 E. BROADWAY, OKEMAH, OK 74859"
OKLAHOMA,OKLAHOMA,550009,OKLAHOMA COUNTY PRECINCT 550009,BETHANY 1ST CH OF THE NAZARENE,"NW 41ST & N MUELLER, OKLAHOMA CITY, OK 73008"
OKLAHOMA,OKLAHOMA,550015,OKLAHOMA COUNTY PRECINCT 550015,CENTRAL 7TH DAY ADVENTIST CH,"4747 NW 63RD ST, OKLAHOMA CITY, OK 73132"
OKLAHOMA,OKLAHOMA,550017,OKLAHOMA COUNTY PRECINCT 550017,CHURCH OF THE SAVIOR,"5600 NW 63RD ST, OKLAHOMA CITY, OK 73112"
OKLAHOMA,OKLAHOMA,550027,OKLAHOMA COUNTY PRECINCT 550027,FIRST BAPTIST CHURCH OF NCP,"1931 NICHOLS DR, NICOMA PARK, OK 73066"
OKLAHOMA,OKLAHOMA,550037,OKLAHOMA COUNTY PRECINCT 550037,WESTWOOD CHURCH OF CHRIST,"3100 W DANFORTH RD, EDMOND, OK 73012"
OKLAHOMA,OKLAHOMA,550041,OKLAHOMA COUNTY PRECINCT 550041,EDMOND ROAD BAPTIST CHURCH,"1207 W EDMOND RD, EDMOND, OK 73003"
OKLAHOMA,OKLAHOMA,550050,OKLAHOMA COUNTY PRECINCT 550050,CALVARY TEMPLE,"1801 S KELLY AVE, EDMOND, OK 73034"
OKLAHOMA,OKLAHOMA,550052,OKLAHOMA COUNTY PRECINCT 550052,THE GARVEY CENTER,"2501 E MEMORIAL RD, OKLAHOMA CITY, OK 73136"
OKLAHOMA,OKLAHOMA,550053,OKLAHOMA COUNTY PRECINCT 550053,PRESBYTERIAN CHURCH,"1001 S RANKIN ST, EDMOND, OK 73034"
OKLAHOMA,OKLAHOMA,550063,OKLAHOMA COUNTY PRECINCT 550063,CROSS TIMBERS CHURCH,"4201 E MEMORIAL RD, EDMOND, OK 73013"
OKLAHOMA,OKLAHOMA,550064,OKLAHOMA COUNTY PRECINCT 550064,LIFE CHURCH,"4500 E 2ND STREET, EDMOND, OK 73034"
OKLAHOMA,OKLAHOMA,550065,OKLAHOMA COUNTY PRECINCT 550065,ST JAMES A M E CHURCH,"700 N MAIN ST (ARCADIA), ARCADIA, OK 73007"
OKLAHOMA,OKLAHOMA,550080,OKLAHOMA COUNTY PRECINCT 550080,LIFE CHURCH. TV,"6809 E RENO, MIDWEST CITY, OK 73110"
OKLAHOMA,OKLAHOMA,550082,OKLAHOMA COUNTY PRECINCT 550082,SOONER BAPTIST CHURCH,"5824 SE 15TH ST, MIDWEST CITY, OK 73110"
OKLAHOMA,OKLAHOMA,550086,OKLAHOMA COUNTY PRECINCT 550086,RIDGECREST CHURCH OF CHRIST,"500 N AIR DEPOT, MIDWEST CITY, OK 73110"
OKLAHOMA,OKLAHOMA,550096,OKLAHOMA COUNTY PRECINCT 550096,CARL ALBERT MIDDLE SCHOOL,"2515 S POST RD, MIDWEST CITY, OK 73110"
OKLAHOMA,OKLAHOMA,550099,OKLAHOMA COUNTY PRECINCT 550099,ALL SOULS FAMILY LIFE CENTER,"6404 N PENNSYLVANIA AVE, OKLAHOMA CITY, OK 73116"
OKLAHOMA,OKLAHOMA,550106,OKLAHOMA COUNTY PRECINCT 550106,OUR LORD'S LUTHERAN CHURCH,"2900 W HEFNER RD, OKLAHOMA CITY, OK 73120"
OKLAHOMA,OKLAHOMA,550121,OKLAHOMA COUNTY PRECINCT 550121,BRIDGEWAY CHURCH,"228 W HEFNER RD, OKLAHOMA CITY, OK 73114"
OKLAHOMA,OKLAHOMA,550122,OKLAHOMA COUNTY PRECINCT 550122,THE FOUNTAINS AT CANTERBURY,"1404 NW 122ND ST, OKLAHOMA CITY, OK 73114"
OKLAHOMA,OKLAHOMA,550124,OKLAHOMA COUNTY PRECINCT 550124,CHAPEL HILL UNITED METHODIST,"2717 WEST HEFNER RD, OKLAHOMA CITY, OK 73120"
OKLAHOMA,OKLAHOMA,550131,OKLAHOMA COUNTY PRECINCT 550131,ST ELIJAH ANTIOCHIAN CHURCH,"15000 N MAY AVE, OKLAHOMA CITY, OK 73134"
OKLAHOMA,OKLAHOMA,550141,OKLAHOMA COUNTY PRECINCT 550141,FRANCIS TUTTLE TECHNOLOGY CTR,"12777 N ROCKWELL AVE, OKLAHOMA CITY, OK 73142"
OKLAHOMA,OKLAHOMA,550142,OKLAHOMA COUNTY PRECINCT 550142,EPISCOPAL CH OF RESURRECTION,"13112 N ROCKWELL AVE, OKLAHOMA CITY, OK 73142"
OKLAHOMA,OKLAHOMA,550147,OKLAHOMA COUNTY PRECINCT 550147,OUR LORD'S LUTHERAN CHURCH,"2900 W. HEFNER RD, OKLAHOMA CITY, OK 73120"
OKLAHOMA,OKLAHOMA,550150,OKLAHOMA COUNTY PRECINCT 550150,NEW HOPE CHURCH,"11600 N COUNCIL RD, OKLAHOMA CITY, OK 73162"
OKLAHOMA,OKLAHOMA,550153,OKLAHOMA COUNTY PRECINCT 550153,HEFNER MANSIONS,"7700 W HEFNER ROAD, OKLAHOMA CITY, OK 73162"
OKLAHOMA,OKLAHOMA,550157,OKLAHOMA COUNTY PRECINCT 550157,CHEROKEE HILLS BAPTIST CHURCH	,"5700 NW 63RD, OKLAHOMA CITY, OK 73132"
OKLAHOMA,OKLAHOMA,550159,OKLAHOMA COUNTY PRECINCT 550159,HIGHLAND HILLS BAPTIST CHURCH,"7900 DEVORE DRIVE, OKLAHOMA CITY, OK 73162"
OKLAHOMA,OKLAHOMA,550167,OKLAHOMA COUNTY PRECINCT 550167,PLUMBERS AND PIPEFITTERS #344,"4335 SW 44TH ST, OKLAHOMA CITY, OK 73119"
OKLAHOMA,OKLAHOMA,550170,OKLAHOMA COUNTY PRECINCT 550170,PORTLAND AVENUE BAPTIST CHURCH,"1301 N PORTLAND AVE, OKLAHOMA CITY, OK 73127"
OKLAHOMA,OKLAHOMA,550173,OKLAHOMA COUNTY PRECINCT 550173,NORTHWEST CHURCH OF CHRIST,"4301 NW 23RD ST, OKLAHOMA CITY, OK 73107"
OKLAHOMA,OKLAHOMA,550181,OKLAHOMA COUNTY PRECINCT 550181,CENTRAL PRESBYTERIAN CHURCH,"5101 N MAY AVE, OKLAHOMA CITY, OK 73112"
OKLAHOMA,OKLAHOMA,550183,OKLAHOMA COUNTY PRECINCT 550183,MAYFAIR CENTER,"3200 NW 48TH ST, OKLAHOMA CITY, OK 73112"
OKLAHOMA,OKLAHOMA,550185,OKLAHOMA COUNTY PRECINCT 550185,NORTHWEST BAPTIST CHURCH,"3030 NW 23RD ST, OKLAHOMA CITY, OK 73107"
OKLAHOMA,OKLAHOMA,550187,OKLAHOMA COUNTY PRECINCT 550187,PORTLAND AVENUE BAPTIST CH,"1301 N PORTLAND AVE, OKLAHOMA CITY, OK 73127"
OKLAHOMA,OKLAHOMA,550206,OKLAHOMA COUNTY PRECINCT 550206,ANDREWS SQUARE,"2101 S HARVEY AVE, OKLAHOMA CITY, OK 73109"
OKLAHOMA,OKLAHOMA,550209,OKLAHOMA COUNTY PRECINCT 550209,WOODSON PARK SR ACTIVITY CTR,"3401 S MAY AVE, OKLAHOMA CITY, OK 73119"
OKLAHOMA,OKLAHOMA,550216,OKLAHOMA COUNTY PRECINCT 550216,WESTERN HILLS BAPTIST CHURCH,"401 SW 44TH ST, OKLAHOMA CITY, OK 73109"
OKLAHOMA,OKLAHOMA,550224,OKLAHOMA COUNTY PRECINCT 550224,INNER-CITY ASSEMBLY OF GOD,"2212 SW 55TH ST, OKLAHOMA CITY, OK 73148"
OKLAHOMA,OKLAHOMA,550226,OKLAHOMA COUNTY PRECINCT 550226,MAY AVENUE WESLEYAN CHURCH,"5201 S MAY AVE, OKLAHOMA CITY, OK 73144-0376"
OKLAHOMA,OKLAHOMA,550240,OKLAHOMA COUNTY PRECINCT 550240,MCGUIRE COMMUNITY CENTER,"1316 NE 12TH ST, OKLAHOMA CITY, OK 73117"
OKLAHOMA,OKLAHOMA,550244,OKLAHOMA COUNTY PRECINCT 550244,REDEEMER LUTHERAN CHURCH,"1524 NE GRAND BLVD, OKLAHOMA CITY, OK 73117"
OKLAHOMA,OKLAHOMA,550249,OKLAHOMA COUNTY PRECINCT 550249,PARKVIEW ELEMENTARY SCHOOL,"5701 S MACKLEMAN DR, OKLAHOMA CITY, OK 73135"
OKLAHOMA,OKLAHOMA,550254,OKLAHOMA COUNTY PRECINCT 550254,HARMONY CHRISTIAN CHURCH,"7100 S CHOCTAW RD, CHOCTAW, OK 73020"
OKLAHOMA,OKLAHOMA,550255,OKLAHOMA COUNTY PRECINCT 550255,CORNERSTONE CHURCH,"9900 SE 15TH ST, MIDWEST CITY, OK 73130"
OKMULGEE,OKMULGEE,560033,OKMULGEE COUNTY PRECINCT 560033,PRESTON SCHOOL,"10165 PRINGEY AVE, PRESTON, OK 74456"
OKMULGEE,OKMULGEE,560036,OKMULGEE COUNTY PRECINCT 560036,SOUTH SIDE BAPTIST CHURCH,"HWY 62 & LOOP 56 HWY, OKMULGEE, OK 74447"
OSAGE,OSAGE,570308,OSAGE COUNTY PRECINCT 570308,KEYSTONE HILLS BAPTIST CHURCH,"161 NEW PRUE ROAD, SAND SPRINGS, OK 74063"
OTTAWA,OTTAWA,580014,OTTAWA COUNTY PRECINCT 580014,COMMERCE FIRST BAPTIST CHURCH,"109 NORTH CHERRY, COMMERCE, OK 74339"
OTTAWA,OTTAWA,580034,OTTAWA COUNTY PRECINCT 580034,AFTON CITY HALL,"201 SOUTHWEST 1ST STREET, AFTON, OK 74331"
PAWNEE,PAWNEE,590118,PAWNEE COUNTY PRECINCT 590118,OLD SCHOOL COMMUNITY CENTER,"211 E WICHITA ST, CLEVELAND, OK 74020"
PAWNEE,PAWNEE,590307,PAWNEE COUNTY PRECINCT 590307,WESTPORT BAPTIST CHURCH,"7020 W OLD KEYSTONE RD, CLEVELAND, OK 74020"
PAYNE,PAYNE,600401,PAYNE COUNTY PRECINCT 600401,LIFECHURCH.TV,"1917 N. COUNTRY CLUB RD., STILLWATER, OK 74075"
PITTSBURG,PITTSBURG,610021,PITTSBURG COUNTY PRECINCT 610021,ARPELAR NAZARENE CHURCH,"ARPELAR, MC ALESTER, OK 74501"
