county_name,precinct_id,precinct_name,name,address
ALBEMARLE COUNTY,0201,201 - JACK JOUETT,JACK JOUETT MIDDLE SCHOOL,210 Lambs Ln
ALBEMARLE COUNTY,0202,202 - UNIVERSITY,SLAUGHTER RECREATIONAL CENTER,505 Edgemont Rd
ALBEMARLE COUNTY,0203,203 - GEORGETOWN,ALBEMARLE HIGH SCHOOL,2775 Hydraulic Rd
ALBEMARLE COUNTY,0301,301 - IVY,MERIWETHER LEWIS ELEM SCHOOL,1610 Owensville Rd
ALBEMARLE COUNTY,0302,302 - RED HILL,RED HILL ELEMENTARY SCHOOL,3901 Red Hill School Rd
ALBEMARLE COUNTY,0304,304 - EAST IVY,MILLER CENTER,2201 Old Ivy Rd
ALBEMARLE COUNTY,0305,305 - COUNTRY GREEN,Calvary Chapel,1284 Sunset Avenue Ext
ALBEMARLE COUNTY,0306,306 - PORTERS,Yancey School Community Center,7625 Porters Rd
ALBEMARLE COUNTY,0307,307 - YELLOW MOUNTAIN,MOUNT ED BAPTIST CHURCH,1606 Craigs Store Rd
ALBEMARLE COUNTY,0401,401 - SCOTTSVILLE,SCOTTSVILLE ELEMENTARY SCHOOL,7868 Scottsville Rd
ALBEMARLE COUNTY,0402,402 - MONTICELLO,MONTICELLO HIGH SCHOOL AUDITORIUM,1400 Independence Way
ALBEMARLE COUNTY,0405,405 - CALE,PAUL H CALE ELEMENTARY SCHOOL,1757 Avon Street Ext
ALBEMARLE COUNTY,0406,406 - STONE ROBINSON,STONE-ROBINSON ELEM SCHOOL,958 N Milton Rd
ALBEMARLE COUNTY,0407,407 - BISCUIT RUN,MONTICELLO HIGH SCHOOL ,1400 Independence Way
ALBEMARLE COUNTY,0501,501 - KESWICK,ZION HILL BAPTIST CHURCH,802 Zion Hill Rd
ALBEMARLE COUNTY,0502,502 - STONY POINT,STONY POINT ELEM SCHOOL,3893 Stony Point Rd
ALBEMARLE COUNTY,0503,503 - HOLLYMEAD,HOLLYMEAD ELEMENTARY SCHOOL,2775 Powell Creek Dr
ALBEMARLE COUNTY,0504,504 - FREE BRIDGE,ELKS LODGE HALL,389 Elk Dr
ALBEMARLE COUNTY,0506,506 - BAKER-BUTLER,BAKER-BUTLER ELEMENTARY SCHOOL,2740 Proffit Rd
ALBEMARLE COUNTY,0507,507 - PANTOPS,BROADUS MEMORIAL BAPTIST CHURCH,1525 Stony Point RD
ALBEMARLE COUNTY,0601,601 - CROZET,CROZET ELEMENTARY SCHOOL,1407 Crozet Ave
ALBEMARLE COUNTY,0602,602 - FREE UNION,FREE UNION COUNTRY SCHOOL,4220 Free Union RD
ALBEMARLE COUNTY,0603,603 - EARLYSVILLE,BROADUS WOOD ELEM SCHOOL,185 Buck Mountain Rd
ALBEMARLE COUNTY,0604,604 - BROWNSVILLE,BROWNSVILLE ELEMENTARY SCHOOL,5870 Rockfish Gap Tpke
ALBEMARLE COUNTY,0606,606 - MECHUMS RIVER,WESTERN ALBEMARLE HIGH SCHOOL,5941 Rockfish Gap Tpke
ALLEGHANY COUNTY,0101,101 - ARRITT,BOILING SPRING FIREHOUSE,5407 POTTS CREEK RD  
ALLEGHANY COUNTY,0103,103 - DAMERON,DUNLAP FIREHOUSE,5518 Dunlap Creek Rd
ALLEGHANY COUNTY,0201,201 - HUMPBACK BRIDGE,MOOSE LODGE 610,414 MOOSE PARK ROAD
ALLEGHANY COUNTY,0202,202 - DOLLY ANN,V F W POST,710 E Dolly Ann Dr
ALLEGHANY COUNTY,0301,301 - CALLAGHAN,JOHNSON CREEK ARP CHURCH,4804 Johnson Creek Rd
ALLEGHANY COUNTY,0302,302 - GRIFFITH,FALLING SPG PRESBYTERIAN CHURCH,115 SPRING CHURCH ROAD
ALLEGHANY COUNTY,0401,401 - LOW MOOR,ALLEGHANY HIGHLANDS YMCA,101 YMCA WAY
ALLEGHANY COUNTY,0402,402 - JACKSON HEIGHTS,FAITH BAPTIST CHURCH,311 Jackson Dr
ALLEGHANY COUNTY,0501,501 - IRON GATE,IRON GATE TOWN HALL,401 COMMERCE AVENUE
ALLEGHANY COUNTY,0502,502 - PETERS SWITCH,SHARON FIREHOUSE,3910 Longdale Furnace Rd
ALLEGHANY COUNTY,0601,601 - DISTRICT 1,CLIFTON FORGE FIREHOUSE,701 Church St
ALLEGHANY COUNTY,0701,701 - DISTRICT 2,Clifton Forge Armory,724 Commercial Avenue
AMELIA COUNTY,0101,101 - NUMBER ONE,PAINEVILLE FIRE DEPARTMENT,12151 Fowlkes Bridge Rd
AMELIA COUNTY,0201,201 - NUMBER TWO,MATTOAX FIRE DEPARTMENT,12201 Genito Rd
AMELIA COUNTY,0301,301 - NUMBER THREE,AMELIA FIRE DEPARTMENT,8950 Otterburn Rd
AMELIA COUNTY,0401,401 - NUMBER FOUR,AMELIA COURT HOUSE,16441 Court St
AMELIA COUNTY,0501,501 - NUMBER FIVE,MANNBORO FIRE DEPARTMENT,8641 Namozine Rd
AMHERST COUNTY,0101,101 - WRIGHT SHOP,SCOTT ZION BAPTIST CHURCH,2579 Galts Mill Rd
AMHERST COUNTY,0102,102 - NEW GLASGOW,CENTRAL ELEM SCHOOL,575 Union Hill Rd
AMHERST COUNTY,0103,103 - COOLWELL,COOLWELL RECREATION CENTER,648 NORTH COOLWELL ROAD
AMHERST COUNTY,0201,201 - COURT HOUSE,AMHERST ELEM SCHOOL,156 Davis St
AMHERST COUNTY,0202,202 - TEMPERANCE,TEMPERANCE ELEM SCHOOL,1981 Lowesville Rd
AMHERST COUNTY,0301,301 - MONROE,The Monroe Community Center,129 Francis Ave
AMHERST COUNTY,0302,302 - ELON,ELON ELEM SCHOOL,147 Younger Dr
AMHERST COUNTY,0303,303 - PLEASANT VIEW,PLEASANT VIEW ELEM SCHOOL,229 Dancing Creek Rd
AMHERST COUNTY,0401,401 - AMELON,AMELON ELEM SCHOOL,132 Amer Cir
AMHERST COUNTY,0402,402 - LONCO,NEW BEGINNING TABERNACLE,1886 S Coolwell Rd
AMHERST COUNTY,0501,501 - MADISON,MONELISON MIDDLE SCHOOL,257 Trojan Rd
APPOMATTOX COUNTY,0101,101 - VERA,VOTING BUILDING,147 Wildway Rd
APPOMATTOX COUNTY,0102,102 - PAMPLIN,PAMPLIN COMMUNITY CENTER,211 Swan Rd
APPOMATTOX COUNTY,0201,201 - CHAP,CENTRAL BAPTIST CHURCH,1271 Central Church RD
APPOMATTOX COUNTY,0202,202 - SPOUT SPRING,RURITAN BUILDING,218 RURITAN LANE
APPOMATTOX COUNTY,0301,301 - US  460,MOOSE LODGE,307 Lees Crossing Ln
APPOMATTOX COUNTY,0302,302 - STONEWALL,VOTING BUILDING,5122 STONEWALL ROAD
APPOMATTOX COUNTY,0401,401 - COURTHOUSE,SUPERVISORS MEETING ROOM,171 Price Lane
APPOMATTOX COUNTY,0501,501 - OAKVILLE,OAKVILLE RURITAN BUILDING,181 PINEY MOUNTAIN ROAD
APPOMATTOX COUNTY,0502,502 - AGEE,VOTING BUILDING,5518 WILDWAY ROAD
ARLINGTON COUNTY,0001,001 - ARLINGTON,RANDOLPH SCHOOL,1306 S Quincy St
ARLINGTON COUNTY,0002,002 - ASHTON HEIGHTS,CLARENDON UNITED METH CHURCH,606 N Irving St
ARLINGTON COUNTY,0003,003 - AURORA HILLS,Melwood,750 23rd St S
ARLINGTON COUNTY,0004,004 - BALLSTON,ARLINGTON TRADITIONAL SCHOOL,855 N Edison St
ARLINGTON COUNTY,0005,005 - BARCROFT,BARCROFT SCHOOL,625 S Wakefield St
ARLINGTON COUNTY,0006,006 - CRYSTAL CITY,Crystal Square Five,251 18th St S
ARLINGTON COUNTY,0007,007 - CHERRYDALE,SAINT AGNES PARISH HALL,1910 N Randolph St
ARLINGTON COUNTY,0008,008 - HUME,RIVER HOUSE JAMES BUILDING,1111 Army Navy Dr 
ARLINGTON COUNTY,0009,009 - COLUMBIA,WALTER REED COMMUNITY CENTER,2909 16th St S
ARLINGTON COUNTY,0010,010 - WILSON,ART ATRIUM,1601 Clarendon Blvd
ARLINGTON COUNTY,0011,011 - EAST FALLS CHURCH,TUCKAHOE ELEMENTARY SCHOOL,6550 26th St N
ARLINGTON COUNTY,0012,012 - FAIRLINGTON,FAIRLINGTON CENTER,3308 S Stafford St
ARLINGTON COUNTY,0013,013 - GLEN CARLYN,KENMORE SCHOOL,200 S Carlin Springs Rd
ARLINGTON COUNTY,0014,014 - CLARENDON,WASHINGTON-LEE HIGH SCHOOL,1301 N Stafford St
ARLINGTON COUNTY,0015,015 - LYON PARK,Lyon Park Community Center,414 N Fillmore St
ARLINGTON COUNTY,0016,016 - LYON VILLAGE,LYON VILLAGE COMMUNITY HOUSE,1920 N Highland St
ARLINGTON COUNTY,0017,017 - OVERLEE KNOLLS,WALTER REED SCHOOL,1644 N McKinley Rd
ARLINGTON COUNTY,0018,018 - PARK LANE,KEY SCHOOL,2300 Key Blvd
ARLINGTON COUNTY,0019,019 - ROSSLYN,Rosslyn Gateway,1911 Fort Myer Dr
ARLINGTON COUNTY,0020,020 - THRIFTON,WOODMONT CENTER,2422 N Fillmore St
ARLINGTON COUNTY,0021,021 - VIRGINIA HIGHLANDS,AURORA HILLS COMMUNITY CENTER,735 18th St S
ARLINGTON COUNTY,0022,022 - ABINGDON,Abingdon School,3035 S Abingdon St
ARLINGTON COUNTY,0023,023 - WESTOVER,SWANSON MIDDLE SCHOOL,5800 Washington Blvd
ARLINGTON COUNTY,0024,024 - WOODLAWN,GLEBE SCHOOL,1770 N Glebe Rd
ARLINGTON COUNTY,0025,025 - ARLINGTON FOREST,CULPEPPER GARDEN,4435 N Pershing Dr 
ARLINGTON COUNTY,0026,026 - FILLMORE,PATRICK HENRY SCHOOL,701 S Highland St
ARLINGTON COUNTY,0027,027 - JEFFERSON,THOMAS JEFFERSON CENTER,3501 2nd St S
ARLINGTON COUNTY,0028,028 - WAKEFIELD,WAKEFIELD SCHOOL,1325 S Dinwiddie St
ARLINGTON COUNTY,0029,029 - DOMINION HILLS,MCKINLEY SCHOOL,1030 N Mckinley Rd
ARLINGTON COUNTY,0030,030 - GLEBE,DREW COMMUNITY CENTER,3500 23rd St S
ARLINGTON COUNTY,0031,031 - LEXINGTON,LEE COMMUNITY CENTER,5722 Lee Hwy
ARLINGTON COUNTY,0032,032 - OAKRIDGE,OAKRIDGE SCHOOL,1414 24th St S
ARLINGTON COUNTY,0033,033 - ROCK SPRING,WILLIAMSBURG SCHOOL,3600 N Harrison St
ARLINGTON COUNTY,0034,034 - YORKTOWN,YORKTOWN SCHOOL,5200 Yorktown Blvd
ARLINGTON COUNTY,0035,035 - MADISON,MADISON COMMUNITY CENTER,3829 N Stafford St
ARLINGTON COUNTY,0036,036 - MARSHALL,TAYLOR SCHOOL,2600 N Stuart St
ARLINGTON COUNTY,0037,037 - NOTTINGHAM,NOTTINGHAM SCHOOL,5900 Little Falls Rd
ARLINGTON COUNTY,0038,038 - ARLINGTON VIEW,CARVER COMMUNITY CENTER,1415 S Queen St
ARLINGTON COUNTY,0039,039 - ASHLAWN,ASHLAWN SCHOOL,5950 8th Rd N
ARLINGTON COUNTY,0040,040 - VIRGINIA SQUARE,GEORGE MASON UNIVERSITY,3351 Fairfax Dr
ARLINGTON COUNTY,0041,041 - NAVY LEAGUE,NAVY LEAGUE BUILDING,"2300 Wilson Blvd., "
ARLINGTON COUNTY,0042,042 - SHIRLINGTON,PARK OPERATIONS BUILDING,2700 S Taylor St
ARLINGTON COUNTY,0043,043 - CAMPBELL,CAMPBELL SCHOOL,737 S Carlin Springs Rd
ARLINGTON COUNTY,0044,044 - DAWSON TERRACE,DAWSON TERRACE CENTER,2133 N Taft St
ARLINGTON COUNTY,0045,045 - BUCKINGHAM,BARRETT SCHOOL,4401 N Henderson Rd
ARLINGTON COUNTY,0046,046 - CENTRAL,CENTRAL LIBRARY,1015 N Quincy St
ARLINGTON COUNTY,0047,047 - FOUR MILE RUN,BARCROFT SPORT AND FITNESS CTR,4200 S Four Mile Run Dr
ARLINGTON COUNTY,0048,048 - AUSA,AUSA,2425 Wilson Blvd
ARLINGTON COUNTY,0049,049 - MONROE,ARLINGTON ARTS CENTER,3550 Wilson Blvd
ARLINGTON COUNTY,0050,050 - CRYSTAL PLAZA,CRYSTAL PLAZA,2111 Richmond Hwy
ARLINGTON COUNTY,0051,051 - TAYLOR,THE JEFFERSON,900 N Taylor St
ARLINGTON COUNTY,0052,052 - GUNSTON,GUNSTON COMMUNITY CENTER,2700 S Lang St
ARLINGTON COUNTY,0053,053 - MET PARK,THE BARTLETT,520 12th St S
ARLINGTON COUNTY,0054,054 - GARFIELD PARK,GARFIELD PARK,925 N Garfield St
AUGUSTA COUNTY,0101,101 - JOLIVUE,VICTORY WORSHIP CENTER,200 Hammond Ln
AUGUSTA COUNTY,0102,102 - STUARTS DRAFT ELEMENTARY,STUARTS DRAFT ELEMENTARY SCHOOL,63 School Blvd
AUGUSTA COUNTY,0103,103 - VERONA,AUGUSTA COUNTY GOVT CENTER,18 Government Center Ln
AUGUSTA COUNTY,0201,201 - CRIMORA,HUGH K. CASSELL ELEMENTARY SCHOOL,1301 Rockfish Rd
AUGUSTA COUNTY,0202,202 - NEW HOPE,NEW HOPE UNITED METHODIST CHURCH,55 Round Hill School Rd
AUGUSTA COUNTY,0203,203 - WEYERS CAVE,WEYERS CAVE COMMUNITY CENTER,682 Weyers Cave Rd
AUGUSTA COUNTY,0301,301 - FORT DEFIANCE,CLYMORE ELEMENTARY SCHOOL,184 Fort Defiance Rd
AUGUSTA COUNTY,0302,302 - NORTH RIVER,NORTH RIVER ELEMENTARY SCHOOL,3395 Scenic Hwy
AUGUSTA COUNTY,0303,303 - MOUNT SOLON,SANGERVILLE TOWERS RURITAN HALL,38 Emmanuel Church Rd
AUGUSTA COUNTY,0304,304 - CHURCHVILLE FIRE STATION,CHURCHVILLE FIRE STATION,3829 Churchville Ave
AUGUSTA COUNTY,0401,401 - BUFFALO GAP,BUFFFALO GAP HIGH SCHOOL,1800 Buffalo Gap Hwy
AUGUSTA COUNTY,0402,402 - CHURCHVILLE ELEMENTARY,CHURCHVILLE ELEMENTARY SCHOOL,3710 Churchville Ave
AUGUSTA COUNTY,0403,403 - CRAIGSVILLE,CRAIGSVILLE COMMUNITY CENTER,18 Hidy St
AUGUSTA COUNTY,0404,404 - DEERFIELD,DEERFIELD FIRE STATION,2927 Deerfield Valley Rd
AUGUSTA COUNTY,0405,405 - CEDAR GREEN,BEVERLEY MANOR MIDDLE SCHOOL,58 Cedar Green Road
AUGUSTA COUNTY,0501,501 - GREENVILLE,RIVERHEADS HIGH SCHOOL,19 Howardsville Rd
AUGUSTA COUNTY,0502,502 - MIDDLEBROOK,MIDDLEBROOK FIRE STATION,54 Cherry Grove Rd
AUGUSTA COUNTY,0503,503 - SPOTTSWOOD,SPOTTSWOOD COMMUNITY CENTER,797 Spottswood Rd
AUGUSTA COUNTY,0504,504 - WHITE HILL,WHITE HILL CHURCH OF THE BRETHREN,749 Old White Hill Rd
AUGUSTA COUNTY,0601,601 - SHERANDO,SHERANDO COMMUNITY CENTER,1863 Mt Torrey Rd
AUGUSTA COUNTY,0602,602 - RIDGEVIEW,RIDGEVIEW CHRISTIAN SCHOOL,124 Ridgeview Dr
AUGUSTA COUNTY,0603,603 - LYNDHURST,WILSON FIRE STATION,892 Mt Torrey Rd
AUGUSTA COUNTY,0801,801 - DOOMS,HUGH K. CASSELL ELEMENTARY SCHOOL,1301 Rockfish Rd
AUGUSTA COUNTY,0802,802 - FISHERSVILLE,YANCEY FIRE STATION,2015 Jefferson Hwy
AUGUSTA COUNTY,0803,803 - WILSON,VALLEY VOCATIONAL TECHNICAL CENTER,49 Hornet Rd
BATH COUNTY,0101,101 - WARM SPRINGS,WARM SPRINGS PRESBYTERIAN CHURCH,73 Church Dr
BATH COUNTY,0102,102 - MOUNTAIN GROVE,MOUNTAIN GROVE COMMUNITY CTR,4940 Mountain Valley Rd
BATH COUNTY,0201,201 - HOT SPRINGS,HOT SPRINGS RESCUE SQUAD BLDG,2670 MAIN STREET
BATH COUNTY,0301,301 - FAIRVIEW,FAIRVIEW COMMUNITY CENTER,24403 Mountain Valley Rd
BATH COUNTY,0302,302 - BURNSVILLE,CAVERN VALLEY COMMUNITY CENTER,9215 Tower Hill Rd
BATH COUNTY,0401,401 - MILLBORO,MILLBORO RURITAN CLUB,276 Church St
BATH COUNTY,0501,501 - HEALING SPRINGS,ASHWOOD METHODIST CHURCH,5674 Sam Snead Hwy
BEDFORD COUNTY,0101,101 - GOODVIEW ELEM SCHOOL,GOODVIEW ELEM SCHOOL,1374 Rivermont Academy Rd
BEDFORD COUNTY,0102,102 - HARDY VOL FIRE CO,HARDY VOL FIRE COMPANY,1220 Bandy Mill Road
BEDFORD COUNTY,0103,103 - CHAMBLISSBURG BAPTIST CHURCH,CHAMBLISSBURG BAPTIST CHURCH,9226 Stewartsville Rd
BEDFORD COUNTY,0104,104 - STEWARTSVILLE RESCUE SQUAD,STEWARTSVILLE RESCUE SQUAD,1152 Turner Branch Rd
BEDFORD COUNTY,0201,201 - BEDFORD CHRISTIAN CHURCH,BEDFORD CHRISTIAN CHURCH,1928 Moneta Rd
BEDFORD COUNTY,0202,202 - STAUNTON RIVER HIGH SCHOOL,STAUNTON RIVER HIGH SCHOOL,1095 Golden Eagle Dr
BEDFORD COUNTY,0203,203 - MONETA ELEM SCHOOL,MONETA ELEM SCHOOL,12718 N Old Moneta Rd
BEDFORD COUNTY,0204,204 - Quaker BAPTIST CHURCH,QUAKER BAPTIST CHURCH,4665 Chestnut Fork Road
BEDFORD COUNTY,0205,205 - SAUNDERS VOL FIRE CO,SAUNDERS VOL FIRE COMPANY,12253 Smith Mountain Lake Pkwy
BEDFORD COUNTY,0301,301 - NEW LONDON ACADEMY,NEW LONDON ACADEMY,1133 Academy Ln
BEDFORD COUNTY,0302,302 - BEDFORD REGIONAL WATER AUTH,BEDFORD COUNTY REGIONAL WATER AUTH,1723 Falling Creek Road
BEDFORD COUNTY,0303,303 - BETHESDA UNITED METHODIST CHURCH,BETHESDA METHODIST CHURCH,14340 Wyatts Way
BEDFORD COUNTY,0304,304 - RIVERSIDE CHURCH,RIVERSIDE  CHURCH,2450 Thomas Jefferson RD
BEDFORD COUNTY,0305,305 - HUDDLESTON ELEM SCHOOL,HUDDLESTON ELEM SCHOOL,1027 Huddleston Dr
BEDFORD COUNTY,0306,306 - FOREST FIRE STATION #2,FOREST FIRE STATION #2,1043 Meade RD
BEDFORD COUNTY,0401,401 - FOREST ELEMENTARY SCHOOL,FOREST ELEMENTARY SCHOOL,1 Scholar Ln
BEDFORD COUNTY,0402,402 - THOMAS JEFFERSON ELEM SCHOOL,THOMAS JEFFERSON ELEM SCHOOL,1255 Patriot Place (Off Rt 811)
BEDFORD COUNTY,0403,403 - KNIGHTS OF COLUMBUS BLDG,KNIGHTS OF COLUMBUS BUILDING,201 Sweeney Cir
BEDFORD COUNTY,0404,404 - ST. PAUL BAPTIST CHURCH,ST. PAUL BAPTIST CHURCH,4693 Everett Rd
BEDFORD COUNTY,0502,502 - BIG ISLAND ELEM SCHOOL,BIG ISLAND ELEM SCHOOL,1114 Schooldays Rd
BEDFORD COUNTY,0503,503 - SEDALIA CENTER,SEDALIA CENTER,1108 Sedalia School Rd
BEDFORD COUNTY,0504,504 - SUCK SPRINGS BAPTIST CHURCH,SUCK SPRING BAPTIST CHURCH,3887 Jopling Rd
BEDFORD COUNTY,0505,505 - BOONSBORO ELEMENTARY SCHOOL,BOONSBORO ELEMENTARY SCHOOL,1234 Eagle Cir
BEDFORD COUNTY,0506,506 - BOONSBORO RURITAN CLUB,BOONSBORO RURITAN CLUB,1065 Bradley L. Gaertner Pl (off Coffee Rd)
BEDFORD COUNTY,0601,601 - MONTVALE ELEM SCHOOL,MONTVALE ELEM SCHOOL,1 Little Patriot Dr (460 W)
BEDFORD COUNTY,0602,602 - SHADY GROVE FIRE DEPARTMENT,SHADY GROVE FIRE DEPT,101 Shady Grove Drive
BEDFORD COUNTY,0603,603 - THAXTON BAPTIST CHURCH #1,THAXTON BAPTIST CHURCH #1,1067 Penicks Mill Road
BEDFORD COUNTY,0604,604 - BEDFORD WELCOME CENTER,BEDFORD WELCOME CENTER,816 Burks Hill Rd
BEDFORD COUNTY,0701,701 - GOODE VOL RESCUE SQUAD,GOODE VOL RESCUE SQUAD,9261 Forest Rd
BEDFORD COUNTY,0702,702 - LIBERTY HIGH SCHOOL,LIBERTY HIGH SCHOOL,100 Liberty Minutemen Drive
BEDFORD COUNTY,0703,703 - THAXTON BAPTIST CHURCH #2,THAXTON BAPTIST CHURCH #2,1067 Penicks Mill Road
BEDFORD COUNTY,0704,704 - BEDFORD CENTRAL LIBRARY,BEDFORD CENTRAL LIBRARY,321 North Bridge St
BLAND COUNTY,0101,101 - BASTIAN,BLAND COUNTY SCHOOL BOARD,361 Bears Trl
BLAND COUNTY,0102,102 - CERES,CERES COMMUNITY CENTER,43 Ruritan Drive
BLAND COUNTY,0201,201 - DAVIS,LITTLE CREEK COMMUNITY BUILDING,10157 Little Creek Hwy
BLAND COUNTY,0202,202 - SEDDON,LUTHERAN PRESBYTERIAN FELLOWSHIP HALL,685 Main Street
BLAND COUNTY,0301,301 - HOLLYBROOK,HOLLYBROOK COMMUNITY BUILDING,4283 Wilderness Road
BLAND COUNTY,0302,302 - MECHANICSBURG,MECHANICSBURG COMMUNITY BUILDING,15 Osborne Drive
BLAND COUNTY,0401,401 - ROCKY GAP,ROCKY GAP METHODIST CHURCH FELLOWSHIP HALL,12560 North Scenic Highway
BOTETOURT COUNTY,0101,101 - DALEVILLE,LORD BOTETOURT HIGH SCHOOL,1435 Roanoke Rd
BOTETOURT COUNTY,0102,102 - GREENFIELD,GREENFIELD ELEMENTARY SCHOOL,288 Etzler Rd
BOTETOURT COUNTY,0201,201 - BLUE RIDGE,COLONIAL ELEMENTARY SCHOOL,2941 Webster Rd
BOTETOURT COUNTY,0202,202 - RAINBOW FOREST,RAINBOW FOREST BAPTIST CHURCH,1338 Rainbow Forest Drive
BOTETOURT COUNTY,0301,301 - BUCHANAN,BUCHANAN ELEMENTARY SCHOOL,255 SCHOOLHOUSE RD
BOTETOURT COUNTY,0302,302 - MILL CREEK,MILL CREEK BAPTIST CHURCH,11475 LEE HWY
BOTETOURT COUNTY,0403,403 - EAGLE ROCK,EAGLE ROCK ELEMENTARY SCHOOL,145 Eagles Nest Dr
BOTETOURT COUNTY,0406,406 - FINCASTLE,FINCASTLE BAPTIST CHURCH,7330 ROANOKE RD
BOTETOURT COUNTY,0501,501 - TROUTVILLE,TROUTVILLE ELEMENTARY SCHOOL,12 Barron Dr
BOTETOURT COUNTY,0502,502 - CLOVERDALE,READ MOUNTAIN MIDDLE SCHOOL,182 Orchard Hill Dr
BRUNSWICK COUNTY,0101,101 - BRODNAX,BRODNAX FIRE HOUSE,724 PINEY POND ROAD
BRUNSWICK COUNTY,0102,102 - ROCK STORE,SOUTH BRUNSWICK COMMUNITY CENTER,7283 Dry Bread Rd
BRUNSWICK COUNTY,0103,103 - TILLMAN,FIRE HOUSE AT EBONY,497 ROBINSON FERRY ROAD
BRUNSWICK COUNTY,0201,201 - DROMGOOLE,TRIPLET FIRE HOUSE,3548 Triplet Rd
BRUNSWICK COUNTY,0202,202 - EDGERTON,BRUNSWICK SENIOR TECH CENTER,92 SCHOOL DAYS DRIVE
BRUNSWICK COUNTY,0203,203 - FITZHUGH,MEHERRIN-POWELLTON ELEM SCHOOL,11555 Dry Bread Rd
BRUNSWICK COUNTY,0301,301 - ALBERTA,ALBERTA FIRE HOUSE,54 MAIN STREET
BRUNSWICK COUNTY,0302,302 - DANIELTOWN,NEW HOPE COMMUNITY CENTER,742 New Hope Rd
BRUNSWICK COUNTY,0303,303 - ELMORE,RED OAK ELEMENTARY SCHOOL,4081 Flat Rock Rd.
BRUNSWICK COUNTY,0304,304 - SEYMOUR,BRODNAX FIRE HOUSE,724 PINEY POND ROAD
BRUNSWICK COUNTY,0401,401 - STURGEON,STURGEON ELEMENTARY SCHOOL,1718 FARMERS FIELD ROAD
BRUNSWICK COUNTY,0402,402 - KING'S STORE,ALBERTA FIRE HOUSE,54 MAIN STREET
BRUNSWICK COUNTY,0501,501 - TOTARO,Totaro Elementary School,19350 Christanna Hwy
BUCHANAN COUNTY,0102,102 - BLACKEY,HURLEY HIGH SCHOOL,6339 Hurley Rd
BUCHANAN COUNTY,0103,103 - HURLEY,Trey Adkins Athletic Center,1014 D A Justus Rd
BUCHANAN COUNTY,0201,201 - GRASSY,BREAKS COMMUNTIY CENTER,1028 CROW PASS RD
BUCHANAN COUNTY,0202,202 - BULL,HARMAN ELEM GYM,2323 Bull Creek Rd
BUCHANAN COUNTY,0203,203 - ROCKLICK,BIG ROCK COMMUNITY CENTER,1054 SCHOOL HOUSE RD
BUCHANAN COUNTY,0301,301 - SLATE,J M BEVINS HEADSTART,8666 SLATE CREEK RD
BUCHANAN COUNTY,0302,302 - NORTH GRUNDY,GRUNDY HIGH SCHOOL,1300 GOLDEN WAVE DR
BUCHANAN COUNTY,0403,403 - SOUTH GRUNDY,GRUNDY PLAZA ,1103 Plaza Dr
BUCHANAN COUNTY,0404,404 - OAKWOOD,Appalachian College of Pharmacy,1060 Dragon Rd
