Textbox97,CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress
County: 01 - ABBEVILLE,01,ABBEVILLE,015,Smithville,Ebenezer United Methodist Church,"2470 Old Abbeville Hwy
Abbeville SC 29620"
County: 01 - ABBEVILLE,01,ABBEVILLE,999,Barrier Free,Voter Registration Office,"903 W Greenwood St Ste 2500
Abbeville SC 29620"
County: 02 - AIKEN,02,AIKEN,001,Aiken No. 1,City Auditorium,"214 Park Ave SW
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,002,Aiken No. 2,Lessie B Price Aiken Senior & Youth Ctr,"841 Edgefield Ave NW
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,003,Aiken No. 3,Aiken High School,"449 Rutland Dr NW
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,004,Aiken No. 4,Smith Hazel Rec Center,"400 Kershaw St NE
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,005,Aiken No. 5,St Mary's Smith Hall,"125 Park Ave SE
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,006,Aiken No. 6,Odell Weeks Ctr,"1700 Whiskey Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,007,Bath,L B C Middle School,"29 Lions Trl
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,008,Beech Island,Beech Isl Fire Dept,"1565 Sand Bar Ferry Rd
Beech Island SC 29842"
County: 02 - AIKEN,02,AIKEN,009,Belvedere No. 9,Nancy Carson Library,"135 Edgefield Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,010,Carolina Heights,American Legion Post 232,"6070 Broadcast Dr
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,011,China Springs,Center Fire Substation,"7 T And S Dr
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,012,Clearwater,Clearwater Elem Sch,"4552 Augusta Rd
Beech Island SC 29842"
County: 02 - AIKEN,02,AIKEN,013,College Acres,Mercy,"2700 Whiskey Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,014,Eureka,Mount Sinai Baptist Church,"596 Johnston Hwy
Trenton SC 29847"
County: 02 - AIKEN,02,AIKEN,015,Gloverville,First Baptist Church Gloverville,"2212 Augusta Rd
Gloverville SC 29828"
County: 02 - AIKEN,02,AIKEN,016,Graniteville,Hope Center,"3 Hickman St
Graniteville SC 29829"
County: 02 - AIKEN,02,AIKEN,017,Jackson,Jackson Town Hall,"106 Main St
Jackson SC 29831"
County: 02 - AIKEN,02,AIKEN,018,Langley,Langley Community Center,"2710 Augusta Rd
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,019,Lynwood,Burnettown Municipal Bldg,"3187 Augusta Rd
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,020,Millbrook,Aiken Elementary School,"2050 Pine Log Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,021,Monetta,Ridge-Spring Monetta High School,"1071 Trojan Rd
Monetta SC 29105"
County: 02 - AIKEN,02,AIKEN,022,Montmorenci No. 22,Montmorenci First Bapt Ch,"44 Old Barnwell Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,023,New Ellenton,New Ellenton Community Center,"212 Pine Hill Ave
New Ellenton SC 29809"
County: 02 - AIKEN,02,AIKEN,024,New Holland,New Holland Fire Department,"2243 Old 96 Indian Trl
Batesburg SC 29006"
County: 02 - AIKEN,02,AIKEN,025,North Augusta No. 25,N A Community Center,"495 Brookside Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,026,North Augusta No. 26,Fairview Presbyterian Church,"1101 Carolina Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,027,North Augusta No. 27,N Augusta High School,"2000 Knobcone Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,028,North Augusta No. 28,Hammond Hill Elem School,"901 W Woodlawn Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,029,North Augusta No. 29,First Baptist Church,"602 Georgia Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,030,Oak Grove,Oak Grove Baptist Church,"1721 Old 96 Indian Trl
Batesburg SC 29006"
County: 02 - AIKEN,02,AIKEN,031,Perry,Perry Town Hall,"1075 E Railroad Ave N
Perry SC 29137"
County: 02 - AIKEN,02,AIKEN,032,Salley,Old Crescent Voc School,"230 Pine St NW
Salley SC 29137"
County: 02 - AIKEN,02,AIKEN,033,Shaws Fork,Shaws Fork Baptist Church,"1085 Shaws Fork Rd
Aiken SC 29805"
County: 02 - AIKEN,02,AIKEN,034,Shiloh,J D Lever Elementary,"2404 Columbia Hwy N
Aiken SC 29805"
County: 02 - AIKEN,02,AIKEN,035,Six Points No. 35,USC A Convocation Center,"2049 Champion Way
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,036,Tabernacle,Couchton Fire Subst No. 2,"4765 Wagener Rd
Wagener SC 29164"
County: 02 - AIKEN,02,AIKEN,037,Talatha,New Ellen. Middle Sch,"814 S Main St
New Ellenton SC 29809"
County: 02 - AIKEN,02,AIKEN,038,Vaucluse,1St   Bapt Ch Vaucluse,"2 Church St
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,039,Wagener,Wagener Volunteer Fire Dept,"299 Park St NE
Wagener SC 29164"
County: 02 - AIKEN,02,AIKEN,040,Ward,Jerusalem Baptist Church,"4185 Columbia Hwy N.
Ridge Spring SC 29129"
County: 02 - AIKEN,02,AIKEN,041,Warrenville,1St Bapt Ch Warrenville,"1012 Aiken Blvd
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,042,White Pond,Summer Grove Baptist Church,"2465 Old Barnwell Rd
Williston SC 29853"
County: 02 - AIKEN,02,AIKEN,043,Windsor,Oakwood-Windsor Elementary School,"3773 Charleston Hwy
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,044,Belvedere No. 44,Belvedere Elementary School,"201 Rhomboid Pl
Belvedere SC 29841"
County: 02 - AIKEN,02,AIKEN,045,Misty Lakes,Mims Grove Baptist Church,"843 Ridge Rd
North Augusta SC 29860"
County: 02 - AIKEN,02,AIKEN,046,Six Points No. 46,Ctr. of Innovative Learning@ Pinecrest,"1050 Pinecrest Ave
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,047,Aiken No. 47,Odell Weeks Ctr,"1700 Whiskey Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,048,Hammond,New Beginning Ministries,"317 Williston Rd
Beech Island SC 29842"
County: 02 - AIKEN,02,AIKEN,049,Willow Sprgs,Clearwater Elem Sch,"4552 Augusta Rd
Beech Island SC 29842"
County: 02 - AIKEN,02,AIKEN,050,Breezy Hill,Christian Heritage Church,"285 Ascauga Lake Rd
Graniteville SC 29829"
County: 02 - AIKEN,02,AIKEN,051,Midland Valley No. 51,Aiken County Career Center,"2455 Jefferson Davis Hwy
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,052,Levels No. 52,Kennedy Middle School,"274 E Pine Log Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,053,Hollow Creek,Mercy,"2700 Whiskey Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,054,North Augusta No. 54,N Augusta Middle School,"725 Old Edgefield Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,055,North Augusta No. 55,Holy Trinity Lutheran Ch,"1002 Carolina Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,056,Couchton,Aiken Electric Coop,"2790 Wagener Rd
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,057,Redds Branch,E. Aiken School Of the Arts,"223 Old Wagener Rd
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,058,Fox Creek No. 58,N. Aug. Public Safety,"501 W Five Notch Rd
North Augusta SC 29860"
County: 02 - AIKEN,02,AIKEN,059,Pine Forest,Pine Forest Bpt Ch Annex,"2829 Pine Log Rd
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,060,Gem Lakes No. 60,Warrenville Elementary,"569 Howlandville Rd
Warrenville SC 29851"
County: 02 - AIKEN,02,AIKEN,061,Silver Bluff,Silver Bluff High Sch.,"64 Desoto Dr
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,062,Belvedere No. 62,1St Baptist Ch Belvedere,"421 Edgefield Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,063,Ascauga Lake,Mt Transfiguration Bap Ch,"350 Blanchard Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,064,Cedar Creek No. 64,Cedar Creek Church,"3001 Banks Mill Rd SE
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,065,Sleepy Hollow No. 65,St Aug Of Cant Epis Ch,"1630 Silver Bluff Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,066,Hitchcock No.66,St Paul Lutheran Church,"961 Trail Ridge Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,067,North Augusta No.67,Riverview Pk Act Bldg,"100 Riverview Park Dr
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,068,North Augusta No. 68,Mossy Creek Elem School,"421 W Five Notch Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,069,Anderson Pond No. 69,Millbrook Baptist Church,"223 S Aiken Blvd SE
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,070,Sandstone No.70,Columbus Club,"1003 Spaulding Dr
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,071,Midland Valley No. 71,Aiken Technical College,"2276 Jefferson Davis Hwy Rm 1300
Graniteville SC 29829"
County: 02 - AIKEN,02,AIKEN,072,Levels No.72,Aiken Electric Coop,"2790 Wagener Rd
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,073,Fox Creek No. 73,Grace Fellowship Church,"507 W Five Notch Rd
North Augusta SC 29860"
County: 02 - AIKEN,02,AIKEN,074,Belvedere No. 74,1St Baptist Ch Belvedere,"421 Edgefield Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,075,South Aiken No. 75,Mt Anna Baptist Church - Temporary,"2612 Banks Mill Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,076,South Aiken No. 76,Chukker Creek Elementary - Temporary,"1830 Chukker Creek Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,077,Gem Lakes No. 77,Aiken Elementary School,"2050 Pine Log Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,078,Montmorenci No. 78,Montmorenci First Bapt Ch,"44 Old Barnwell Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,079,Sandstone No. 79,Columbus Club,"1003 Spaulding Dr
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,080,North Augusta No. 80,Fairview Presbyterian Church,"1101 Carolina Ave
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,081,Hammond No. 81,New Beginning Ministries,"317 Williston Rd
Beech Island SC 29842"
County: 02 - AIKEN,02,AIKEN,082,Windsor No. 82,Oakwood-Windsor Elementary School,"3773 Charleston Hwy
Aiken SC 29801"
County: 02 - AIKEN,02,AIKEN,083,Levels No 83,Kennedy Middle School,"274 E Pine Log Rd
Aiken SC 29803"
County: 02 - AIKEN,02,AIKEN,084,Ascauga Lake No. 84,Crown Kingdom Cul Ctr,"720 Edgefield Rd
North Augusta SC 29841"
County: 02 - AIKEN,02,AIKEN,999,Barrier Free,Reg And Elections Office,"1930 University Pkwy Ste 1200
Aiken SC 29801"
County: 03 - ALLENDALE,03,ALLENDALE,001,Allendale No. 1,Brandt Building,"398 Barnwell Hwy
Allendale SC 29810"
County: 03 - ALLENDALE,03,ALLENDALE,002,Allendale No. 2,Allendale Community Center,"212 Flat St E
Allendale SC 29810"
County: 03 - ALLENDALE,03,ALLENDALE,003,Fairfax No. 1,Fairfax Fire Dept,"732 Charleston Ave
Fairfax SC 29827"
County: 03 - ALLENDALE,03,ALLENDALE,004,Fairfax No. 2,Mini Mall,"132 Sumter Ave S
Fairfax SC 29827"
County: 03 - ALLENDALE,03,ALLENDALE,005,Martin,Martin Fire Department,"175 Chert Quarry Rd
Martin SC 29836"
County: 03 - ALLENDALE,03,ALLENDALE,006,Sycamore,Sycamore Town Hall,"226 E Main St
Sycamore SC 29846"
County: 03 - ALLENDALE,03,ALLENDALE,007,Ulmer,Ulmer Town Hall,"148 Ulmer Rd
Ulmer SC 29849"
County: 03 - ALLENDALE,03,ALLENDALE,008,Woods,Allendale Adult Education School,"1843 Main St S
Allendale SC 29810"
County: 03 - ALLENDALE,03,ALLENDALE,999,Barrier Free,Voter Reg.& Elections Off,"158 McNair St
Allendale SC 29810"
County: 04 - ANDERSON,04,ANDERSON,009,Appleton-Equinox,Taylor Mem Church Gym,"711 Glenn St
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,010,Barker's Creek - McAdams,Barkers Creek Bapt Church,"3207 Hwy 252
Honea Path SC 29654"
County: 04 - ANDERSON,04,ANDERSON,011,Belton,First Baptist Church,"105 Brown Ave
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,012,Broadview,Broadway Lake Community Center,"1625 Broadway Lake Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,013,Bishop's Branch,Refuge Baptist Church,"219 Refuge Church Rd
Central SC 29630"
County: 04 - ANDERSON,04,ANDERSON,015,Bowling Green,Whitefield Fire Station,"4000 Hwy 29N
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,016,Broadway,Blue Ridge Baptist Church,"1340 Blue Ridge Ave
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,017,Brushy Creek,Wren High School,"905 Wren School Rd
Piedmont SC 29673"
County: 04 - ANDERSON,04,ANDERSON,018,Cedar Grove,Cedar Grove Elem School,"107 Melvin Ln
Williamston SC 29697"
County: 04 - ANDERSON,04,ANDERSON,019,Centerville Station A,Centerville Elem School,"1529 Whitehall Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,020,Chiquola Mill,Honea Path Elementary Sch,"806 E Greer St
Honea Path SC 29654"
County: 04 - ANDERSON,04,ANDERSON,021,Concrete,Concrete Primary School,"535 Powdersville Main
Easley SC 29642"
County: 04 - ANDERSON,04,ANDERSON,023,Craytonville,Craytonville Fire Station,"1118 Trail Road
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,024,Denver-Sandy Springs,Sandy Sprgs Fire Station,"740 Blackman Rd
Pendleton SC 29670"
County: 04 - ANDERSON,04,ANDERSON,025,Edgewood Station A,The Carpenter's Church,"1610 Pearman Dairy Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,027,Five Forks,Mountain Spring Bapt Church East Campus,"1109 Mountain Springs Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,028,Flat Rock,Grace Baptist Church,"6707 Highway 81 S
Starr SC 29684"
County: 04 - ANDERSON,04,ANDERSON,029,Fork No. 1,Oakdale Baptist Church,"6724 Hwy 24
Townville SC 29689"
County: 04 - ANDERSON,04,ANDERSON,030,Fork No. 2,Double Sprgs Fire Station,"2601 Old Dobbins Bridge Rd
Townville SC 29689"
County: 04 - ANDERSON,04,ANDERSON,031,Friendship,Friendship Fire Station,"1938 Abercombie Rd
Honea Path SC 29654"
County: 04 - ANDERSON,04,ANDERSON,032,Gluck Mill,Homeland Park Elem School,"3519 Wilmont St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,033,Green Pond Station A,New Prospect Ch Fellow Bl,"2503 Whitehall Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,035,Hall,Flat Rock-Bowen Fire Sta,"3135 Airline Rd
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,036,Hammond School,Midway Elementary School,"1221 Harriett Cir
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,037,High Point,Belton-Honea Path Hi Sch,"11000 Belton Honea Path Hwy
Honea Path SC 29654"
County: 04 - ANDERSON,04,ANDERSON,038,Homeland Park,Homeland Park Elem School,"3519 Wilmont St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,039,Honea Path,Honea Path Middle School,"107 Brock Ave
Honea Path SC 29654"
County: 04 - ANDERSON,04,ANDERSON,040,Hopewell,T.L. Hanna High,"2600 Highway 81 N
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,041,Iva,Iva Fire Station,"9711 Hwy 81 S
Iva SC 29655"
County: 04 - ANDERSON,04,ANDERSON,042,Jackson Mill,Iva Civic Center,"206 W Church St
Iva SC 29655"
County: 04 - ANDERSON,04,ANDERSON,043,LaFrance,La France Church of God,"273 Old Anderson Rd
Pendleton SC 29670"
County: 04 - ANDERSON,04,ANDERSON,045,Melton,Mount Able Baptist Church,"130 Mt. Able Church Rd
Pendleton SC 29670"
County: 04 - ANDERSON,04,ANDERSON,046,Mount Tabor,Zion United Methodist Ch,"5708 Hwy 187
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,047,Mountain Creek,Starr Iva Water Company,"104 Roy Arnold Rd
Starr SC 29684"
County: 04 - ANDERSON,04,ANDERSON,049,Neal's Creek,Welfare Baptist Church,"2106 Bolt Dr
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,050,North Pointe,North Pointe Elementary School,"3325 N Highway 81
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,051,Pelzer,ALIVE Wesleyan Church,"2 Wesleyan Dr
Pelzer SC 29669"
County: 04 - ANDERSON,04,ANDERSON,053,Pendleton,Pendleton Elementary Sch,"902 E. Queen St.
Pendleton SC 29670"
County: 04 - ANDERSON,04,ANDERSON,054,Piedmont,Piedmont Wesleyan Church,"506 Anderson St
Piedmont SC 29673"
County: 04 - ANDERSON,04,ANDERSON,055,Piercetown,The Club at Brookstone,"100 River Club Dr
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,057,Rock Mill,Williford Fire Station,"3738 Hwy 187 S
Anderson SC 29626"
County: 04 - ANDERSON,04,ANDERSON,058,Rock Spring,Rock Spring Fire Station,"135 Hwy 413
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,061,Shirley's Store,Ebenezer Fire Station,"1416 Due West Hwy
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,062,Simpsonville,Oak Grove Baptist Church Fellowship Hall,"802 Old River Rd
Piedmont SC 29673"
County: 04 - ANDERSON,04,ANDERSON,063,Starr,Starr Fire Sta,"7715 Hwy 81 S
Starr SC 29684"
County: 04 - ANDERSON,04,ANDERSON,064,Three and Twenty,Three & Twenty Fire Sta,"1301 Three & Twenty Rd
Easley SC 29642"
County: 04 - ANDERSON,04,ANDERSON,065,Toney Creek,Shady Grove Bpt Ch Soc Hl,"1201 Shady Grove Rd
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,066,Townville,Townville Baptist Church,"8816 Hwy 24
Townville SC 29689"
County: 04 - ANDERSON,04,ANDERSON,067,Town Creek,Montessori School of Anderson,"280 Sam McGee Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,068,West Pelzer,West Pelzer Fire Dept,"101 Main St
Pelzer SC 29669"
County: 04 - ANDERSON,04,ANDERSON,069,West Savannah,Starr-Iva Middle School,"1034 Rainey Rd
Starr SC 29684"
County: 04 - ANDERSON,04,ANDERSON,070,White Plains,White Plains Comm Center,"7431 Midway Rd
Pelzer SC 29669"
County: 04 - ANDERSON,04,ANDERSON,071,Williamston,Palmetto Middle School,"803 N Hamilton St
Williamston SC 29697"
County: 04 - ANDERSON,04,ANDERSON,072,Williamston Mill,Calvary Baptist Church,"10 S Academy St
Williamston SC 29697"
County: 04 - ANDERSON,04,ANDERSON,073,Wright's School,Wright Elementary School,"1136 Wright School Rd
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,074,Anderson 1/1,Whitehall Elem School,"702 Whitehall Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,075,Anderson 1/2,Concord Elementary School,"2701 Calrossie Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,076,Anderson 2/1,Holy Trinity Lutheran Church,"209 Broad St
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,077,Anderson 2/2,Calhoun Academy of the Arts,"1520 E Calhoun St
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,078,Anderson 3/1,Anderson County Library,"300 N McDuffie St
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,079,Anderson 3/2,Nevitt Forest Comm School,"1401 Bolt Dr
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,080,Anderson 4/1,Anderson V Career Campus,"1225 S McDuffie St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,081,Anderson 4/2,Nevitt Forest Comm School,"1401 Bolt Dr
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,083,Anderson 5/B,Southwood Academy of the Arts,"1110 Southwood St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,084,Anderson 6/1,Trinity United Methodist,"1809 N Main St
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,085,Anderson 6/2,Southwood Academy of the Arts,"1110 Southwood St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,086,Varennes,Varennes Academy Of Comm,"1820 Hwy 29 S
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,087,Lakeside,New Prospect Elem School,"126 New Prospect Church Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,091,Centerville Station B,Centerville Elem School,"1529 Whitehall Rd
Anderson SC 29625"
County: 04 - ANDERSON,04,ANDERSON,092,Edgewood Station B,Hope Fellowship,"213 Brown Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,093,Cox's Creek,Abiding Savior Lutheran,"1905 E. Greenville St
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,094,Mt. Airy,Grace Church,"9205 Highway 81 N
Piedmont SC 29673"
County: 04 - ANDERSON,04,ANDERSON,111,Belton Annex,City of Belton Comm & Recreation Center,"700 Blue Ridge Ave
Belton SC 29627"
County: 04 - ANDERSON,04,ANDERSON,121,Powdersville,Powdersville Middle Sch,"135 Hood Rd
Greenville SC 29611"
County: 04 - ANDERSON,04,ANDERSON,132,Glenview,Glenview Middle School,"2575 Old Williamston Rd
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,136,Hammond Annex,Midway Elementary School,"1221 Harriett Cir
Anderson SC 29621"
County: 04 - ANDERSON,04,ANDERSON,157,Center Rock,McLees Academy of Leadership,"4900 Dobbins Bridge Rd
Anderson SC 29626"
County: 04 - ANDERSON,04,ANDERSON,164,Hunt Meadows,Hunt Meadows Elem School,"420 Hunt Road
Easley SC 29642"
County: 04 - ANDERSON,04,ANDERSON,165,South Fant,South Fant School of Early Education,"1700 S Fant St
Anderson SC 29624"
County: 04 - ANDERSON,04,ANDERSON,999,Barrier Free,Anderson Cty Reg & Elections Office,"301 N Main St
Anderson SC 29621"
County: 05 - BAMBERG,05,BAMBERG,001,Colston,Colston Fire Dept,"6785 Colston Rd
Bamberg SC 29003"
County: 05 - BAMBERG,05,BAMBERG,002,Edisto,Edisto Fire Station,"4532 Edisto River Rd
Branchville SC 29432"
County: 05 - BAMBERG,05,BAMBERG,003,Ehrhardt,Ehrhardt Town Hall,"13704 Broxton Bridge Rd
Ehrhardt SC 29081"
County: 05 - BAMBERG,05,BAMBERG,004,East Denmark,Brooker Center,"19 Maple Ave
Denmark SC 29042"
County: 05 - BAMBERG,05,BAMBERG,005,Govan,Govan Fire Department,"20920 Ehrhardt Rd
Olar SC 29843"
County: 05 - BAMBERG,05,BAMBERG,006,Hightower's Mill,Old Train Depot,"18748 Heritage Hwy
Denmark SC 29042"
County: 05 - BAMBERG,05,BAMBERG,007,Hunter's Chapel,Hunters Chapel Fire Dept,"6313 Farrells Rd
Branchville SC 29432"
County: 05 - BAMBERG,05,BAMBERG,008,Kearse,Brandt's Office,"8804 Low Country Hwy
Ehrhardt SC 29081"
County: 05 - BAMBERG,05,BAMBERG,009,Little Swamp,Little Swamp Cmt Ctr,"16589 Hunters Chapel Rd
Smoaks SC 29481"
County: 05 - BAMBERG,05,BAMBERG,010,Olar,Olar Town Hall,"14978 Low Country Hwy
Olar SC 29843"
County: 05 - BAMBERG,05,BAMBERG,011,South Bamberg,Kearse Agriculture Bldg,"847 Calhoun St
Bamberg SC 29003"
County: 05 - BAMBERG,05,BAMBERG,012,West Denmark,Old Train Depot,"18748 Heritage Hwy
Denmark SC 29042"
County: 05 - BAMBERG,05,BAMBERG,013,North Bamberg,Bamberg City Civic Center,"2477 Main Hwy
Bamberg SC 29003"
County: 05 - BAMBERG,05,BAMBERG,999,Barrier Free,Voter Registration Office,"1234 North St
Bamberg SC 29003"
County: 06 - BARNWELL,06,BARNWELL,001,Barnwell 1,National Guard Armory,"10233 Marlboro Ave
Barnwell SC 29812"
County: 06 - BARNWELL,06,BARNWELL,002,Barnwell 2,National Guard Armory,"10233 Marlboro Ave
Barnwell SC 29812"
County: 06 - BARNWELL,06,BARNWELL,003,Barnwell 3,National Guard Armory,"10233 Marlboro Ave
Barnwell SC 29812"
County: 06 - BARNWELL,06,BARNWELL,004,Barnwell 4,National Guard Armory,"10233 Marlboro Ave
Barnwell SC 29812"
County: 06 - BARNWELL,06,BARNWELL,005,Blackville 1,Blackvi Community Center,"19464 Solomon Blatt Ave
Blackville SC 29817"
