"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Cass","09","22","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","01","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","01","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","02","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","03","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","04","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","05","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","06","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","07","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","22","08","Ramada Inn","3333 13th Avenue South","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","24","01","Days Inn Casselton","2050 Governor's Drive","Casselton","ND","58012"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","24","01","Doubletree Inn","825 E Beaton Dr","West Fargo","ND","58078"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","24","01","Fargo Civic Center","207 4th St N","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","24","01","FargoDome","1800 University Drive North","Fargo","ND","58102"," 7:00AM-7:00PM","(701) 241-5600"
"Cass","09","24","01","Hilton Garden Inn","4351 17th Ave S","Fargo","ND","58103"," 7:00AM-7:00PM","(701) 241-5600"
