state,county_name,jurisdiction,jurisdiction_type,precinct_id,precinct_name,name,address
IL,Adams,Adams County,city/county,230005,QUINCY 5,ST VINCENTS HOME-COMMUNITY CENTER,"1440 N. 10TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230006,QUINCY 6,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230007,QUINCY 7,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230008,QUINCY 8,IL VETERANS HOME-LIPPINCOTT HALL,"1707 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230009,QUINCY 9,IL VETERANS HOME-LIPPINCOTT HALL,"1707 N. 12TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230010,QUINCY 10,QUINCY UNIVERSITY FITNESS CENTER,"1901 OAK ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230011,QUINCY 11,CHRIST LUTHERAN CHURCH,"333 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230012,QUINCY 12,CHRIST LUTHERAN CHURCH,"333 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230013,QUINCY 13,QUINCY UNIVERSITY FITNESS CENTER,"1901 OAK ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230014,QUINCY 14,QUINCY UNIVERSITY FITNESS CENTER,"1901 OAK ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230015,QUINCY 15,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230016,QUINCY 16,QUINCY UNIVERSITY FITNESS CENTER,"1901 OAK ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230017,QUINCY 17,CHRIST LUTHERAN CHURCH,"333 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230018,QUINCY 18,CHRIST LUTHERAN CHURCH,"333 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230019,QUINCY 19,CALVARY BAPTIST CHURCH,"1825 STATE ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230020,QUINCY 20,CALVARY BAPTIST CHURCH,"1825 STATE ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230021,QUINCY 21,CALVARY BAPTIST CHURCH,"1825 STATE ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230022,QUINCY 22,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230023,QUINCY 23,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230024,QUINCY 24,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230025,QUINCY 25,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230026,QUINCY 26,KNIGHTS OF COLUMBUS,"700 S. 36TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230027,QUINCY 27,TRINITY UNITED CHURCH OF CHRIST,"2020 S. 24TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230028,QUINCY 28,TRINITY UNITED CHURCH OF CHRIST,"2020 S. 24TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230029,QUINCY 29,TRINITY UNITED CHURCH OF CHRIST,"2020 S. 24TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230030,QUINCY 30,GOOD SAMARITAN HOME,"2130 HARRISON ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230031,QUINCY 31,TRINITY UNITED CHURCH OF CHRIST,"2020 S. 24TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230032,QUINCY 32,QUINCY HOUSING AUTHORITY,"540 HARRISON ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230033,QUINCY 33,CALVARY BAPTIST CHURCH,"1825 STATE ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230034,QUINCY 34,QUINCY HOUSING AUTHORITY,"540 HARRISON ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230035,QUINCY 35,QUINCY HOUSING AUTHORITY,"540 HARRISON ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230036,QUINCY 36,QUINCY HOUSING AUTHORITY,"540 HARRISON ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230037,QUINCY 37,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230038,QUINCY 38,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230039,QUINCY 39,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,230040,QUINCY 40,SALEM EVANGELICAL CHURCH,"435 S. 9TH ST., QUINCY, IL"
IL,Adams,Adams County,city/county,30001,CAMP POINT 1,ST THOMAS CHURCH PARISH HALL,"105 E SPRING ST, IL, 62320"
IL,Adams,Adams County,city/county,30002,CAMP POINT 2,ST THOMAS CHURCH PARISH HALL,"105 E SPRING ST, IL, 62320"
IL,Adams,Adams County,city/county,40001,HOUSTON 1,HOUSTON TOWN HALL,"2599 E. 2200TH ST., GOLDEN, IL"
IL,Adams,Adams County,city/county,50001,HONEY CREEK 1,PALOMA COMMUNITY BLDG,"1825 E. 1635TH ST., PALOMA, IL"
IL,Adams,Adams County,city/county,60001,KEENE 1,KEENE TOWN HALL,"108 E. SOUTH ST., LORAINE, IL"
IL,Adams,Adams County,city/county,70001,MENDON 1,MENDON TOWN HALL,"139 E. SOUTH ST., MENDON, IL"
IL,Adams,Adams County,city/county,70002,MENDON 2,MENDON TOWN HALL,"139 E. SOUTH ST., MENDON, IL"
IL,Adams,Adams County,city/county,80001,LIMA 1,LIMA TOWN HALL,"502 S. RANGE LINE, LIMA, IL"
IL,Adams,Adams County,city/county,90001,URSA 1,URSA TOWN HALL,"109 S. WARSAW ST., URSA, IL"
IL,Alexander,Alexander County,city/county,101,CAIRO 1,CAIRO 1,"SHUMAKER BUILDING, 1100 HALLIDAY, CAIRO, IL"
IL,Alexander,Alexander County,city/county,102,CAIRO 2,CAIRO 2,"COUNTY COURTHOUSE(SHERIFF ENT.), 2000 WASHINGTON AVE., CAIRO, IL"
IL,Alexander,Alexander County,city/county,103,CAIRO 3,CAIRO 3,"ALEXANDER COUNTY COURTHOUSE, 2000 WASHINGTON, CAIRO, IL"
IL,Alexander,Alexander County,city/county,104,CAIRO 4,CAIRO 4,"CAIRO JR/SR HIGH SCHOOL, 4201 SYCAMORE, CAIRO, IL"
IL,Alexander,Alexander County,city/county,105,CAIRO 5,CAIRO 5,"CAIRO HIGH SCHOOL, 4201 SYCAMORE, CAIRO, IL"
IL,Alexander,Alexander County,city/county,201,CACHE,CACHE,"CAIRO AIRPORT, 15622 AIRPORT RD, CAIRO, IL"
IL,Alexander,Alexander County,city/county,301,SANDUSKY,SANDUSKY,"SANDUSKY COMMUNITY BUILDING, DAVIE RD, SANDUSKY, IL"
IL,Alexander,Alexander County,city/county,401,TAMMS,TAMMS,"TAMMS COMMUNITY BUILDING, 2ND & CLEVELAND, TAMMS, IL"
IL,Alexander,Alexander County,city/county,601,MCCLURE,MCCLURE,"MCCLURE CITY HALL, 38204 GRAPEVINE TRAIL, MC CLURE, IL"
IL,Alexander,Alexander County,city/county,801,THEBES,THEBES,"THEBES VILLAGE HALL, 413 6TH ST, THEBES, IL"
IL,Alexander,Alexander County,city/county,901,OLIVE BRANCH,OLIVE BRANCH,"OLIVE BRANCH COMMUNITY BUILDING, 22434 RAILROAD ST, OLIVE BRANCH, IL"
IL,Bond,Bond County,city/county,101,TAMALCO 1,"TAMALCO 1, 2 - Twnp Shed","207 Track Road, KEYESPORT, IL"
IL,Bond,Bond County,city/county,102,TAMALCO 2,"TAMALCO 1, 2 - Twnp Shed","207 Track Road, KEYESPORT, IL"
IL,Bond,Bond County,city/county,201,PLEASANT MOUND 1,"PLEASANT MOUND 1, 2 -Com Cntr","1804 Pleasant Mound Ave, SMITHBORO, IL"
IL,Bond,Bond County,city/county,202,PLEASANT MOUND 2,"PLEASANT MOUND 1, 2 -Com Cntr","1804 Pleasant Mound Ave, SMITHBORO, IL"
IL,Bond,Bond County,city/county,301,MULBERRY GROVE 1,MULBERRY GROVE 1,"Village Hall-211 N Wood St, MULBERRY GROVE, IL"
IL,Bond,Bond County,city/county,302,MULBERRY GROVE 2,MULBERRY GROVE 2-Twnp Shed,"1505 Newport Rd - Woburn, MULBERRY GROVE, IL"
IL,Bond,Bond County,city/county,401,MILLS,Mills Township Shed,"1103 Illinois Rt 143, POCAHONTAS, IL"
IL,Bond,Bond County,city/county,501,CENTRAL 1,CENTRAL 1 & 6-Our Redeemer Lutheran,"1540 E State Rt 140, GREENVILLE, IL"
IL,Bond,Bond County,city/county,502,CENTRAL 2,"CENTRAL 1A. 2, 3 First Christian Ch","1100 Killarney, GREENVILLE, IL"
IL,Bond,Bond County,city/county,503,CENTRAL 3,"CENTRAL 1A. 2, 3 First Christian Ch","1100 Killarney, GREENVILLE, IL"
IL,Bond,Bond County,city/county,504,CENTRAL 4,"CENTRAL 4,5.7 -St Lawrence Ch","512 S Prairie, GREENVILLE, IL"
IL,Bond,Bond County,city/county,505,CENTRAL 5,"CENTRAL 4,5.7 -St Lawrence Ch","512 S Prairie, GREENVILLE, IL"
IL,Bond,Bond County,city/county,506,CENTRAL 6,CENTRAL 1 & 6-Our Redeemer Lutheran,"1540 E State Rt 140, GREENVILLE, IL"
IL,Bond,Bond County,city/county,507,CENTRAL 7,"CENTRAL 4,5.7 -St Lawrence Ch","512 S Prairie, GREENVILLE, IL"
IL,Bond,Bond County,city/county,508,CENTRAL 1-A,"CENTRAL 1A. 2, 3 First Christian Ch","1100 Killarney, GREENVILLE, IL"
IL,Bond,Bond County,city/county,601,LAGRANGE 1,"LAGRANGE 1, 2 -Twnp Shed","1516 Ayers Rd, GREENVILLE, IL"
IL,Bond,Bond County,city/county,602,LAGRANGE 2,"LAGRANGE 1, 2 -Twnp Shed","1516 Ayers Rd, GREENVILLE, IL"
IL,Bond,Bond County,city/county,701,BURGESS 1,BURGESS 1-Village Hall,"101 W. Kavanaugh, POCAHONTAS, IL"
IL,Bond,Bond County,city/county,702,BURGESS 2,BURGESS 2-Village Hall,"221 Washington St-E Pierron, PIERRON, IL"
IL,Bond,Bond County,city/county,703,BURGESS 3,BURGESS 3-New Firehouse,"241 Il Rt 143 - Pierron, PIERRON, IL"
IL,Bond,Bond County,city/county,801,OLD RIPLEY,OLD RIPLEY-Twnp Shed,"1004 Franklin - Old Ripley, POCAHONTAS, IL"
IL,Bond,Bond County,city/county,901,SHOAL CREEK 1,SHOAL CREEK 1.3.4 American Legion,"105 E Taylor-Sorento, SORENTO, IL"
IL,Bond,Bond County,city/county,902,SHOAL CREEK 2,SHOAL CREEK 2-Former School,"237 Cleveland Ave-Panama, PANAMA, IL"
IL,Bond,Bond County,city/county,903,SHOAL CREEK 3,SHOAL CREEK 1.3.4 American Legion,"105 E Taylor-Sorento, SORENTO, IL"
IL,Bond,Bond County,city/county,904,SHOAL CREEK 4,SHOAL CREEK 1.3.4 American Legion,"105 E Taylor-Sorento, SORENTO, IL"
IL,Boone,Boone County,city/county,101,BELVIDERE 1,COMMUNITY BUILDING,"111 W 1ST ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,102,BELVIDERE 2,COMMUNITY BUILDING,"111 W 1ST ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,103,BELVIDERE 3,COMMUNITY BUILDING,"111 W 1ST ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,104,BELVIDERE 4,COMMUNITY BUILDING,"111 W 1ST ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,105,BELVIDERE 5,PARKSIDE MANOR RECREATION CNTR,"628 W LINCOLN AVE, BELVIDERE, IL"
IL,Boone,Boone County,city/county,106,BELVIDERE 6,IDA PUBLIC LIBRARY,"320 N State St, BELVIDERE, IL"
IL,Boone,Boone County,city/county,107,BELVIDERE 7,FIRST BAPTIST CHURCH,"1225 W. Jackson St., BELVIDERE, IL"
IL,Boone,Boone County,city/county,108,BELVIDERE 8,MANLEY'S BELVIDERE FORD-LINCOLN,"1800 N STATE ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,109,BELVIDERE 9,SHADLEY APARTMENTS,"1151 NETTIE ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,110,BELVIDERE 10,SALVATION ARMY,"422 S MAIN ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,111,BELVIDERE 11,EVANGELICAL COVENANT CHURCH,"220 E HARRISON ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,112,BELVIDERE 12,FIRST PRESBYTERIAN CHURCH,"221 N MAIN ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,113,BELVIDERE 13,COMMUNITY BUILDING,"111 W 1st St, BELVIDERE, IL"
IL,Boone,Boone County,city/county,114,BELVIDERE 14,COMMUNITY BUILDING,"111 W 1ST ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,115,BELVIDERE 15,BOONE COUNTY ADMINISTRATION CAMPUS,"1212 LOGAN AVE, BELVIDERE, IL"
IL,Boone,Boone County,city/county,116,BELVIDERE 16,HERITAGE WOODS,"4730 SQUAW PRAIRIE RD, BELVIDERE, IL"
IL,Boone,Boone County,city/county,117,BELVIDERE 17,BOONE COUNTY CONSERVATION DIST,"603 APPLETON RD, BELVIDERE, IL"
IL,Boone,Boone County,city/county,118,BELVIDERE 18,JACK WOLF CADILLAC-GMC,"1855 N STATE ST, BELVIDERE, IL"
IL,Boone,Boone County,city/county,119,BELVIDERE 19,KEEN AGE CENTER,"2141 HENRY LUCKOW LN, BELVIDERE, IL"
IL,Boone,Boone County,city/county,120,BELVIDERE 20,CHRIST LUTHERAN CHURCH,"425 RIVERSIDE RD, BELVIDERE, BELVIDERE, IL"
IL,Boone,Boone County,city/county,121,BELVIDERE 21,SWAN HILLS GOLF COURSE,"2600 GUSTAFSON RD, BELVIDERE, IL"
IL,Boone,Boone County,city/county,122,BELVIDERE 22,KEEN AGE CENTER,"2141 HENRY LUCKOW LN, BELVIDERE, IL"
IL,Boone,Boone County,city/county,201,FLORA 1,UAW HALL LOCAL 1268,"1100 W CHRYSLER DR, BELVIDERE, IL"
IL,Boone,Boone County,city/county,202,FLORA 2,FLORA TOWN HALL,"3100 TOWNHALL RD, BELVIDERE, IL"
IL,Boone,Boone County,city/county,301,CALEDONIA 1,CALEDONIA FIRE STATION,"2428 MAIN ST, CALEDONIA, CALEDONIA, IL"
IL,Boone,Boone County,city/county,302,CALEDONIA 2,CANDLEWICK LAKE REC CENTER,"1812 CANDLEWICK DR SW, POPLAR GROVE, IL"
IL,Boone,Boone County,city/county,303,CALEDONIA 3,CANDLEWICK LAKE REC CENTER,"1812 CANDLEWICK DR SW, POPLAR GROVE, IL"
IL,Boone,Boone County,city/county,401,MANCHESTER,MANCHESTER ELEM SCHOOL,"3501 BLAINE RD, POPLAR GROVE, POPLAR GROVE, IL"
IL,Boone,Boone County,city/county,501,SPRING,SPRING TOWN HALL,"3150 SHATTUCK, GARDEN PRAIRIE, BELVIDERE, IL"
IL,Boone,Boone County,city/county,601,BONUS 1,GARDEN PRAIRIE FIRE STATION,"9409 U.S. RT. 20, GARDEN PRAIRIE, IL"
IL,Boone,Boone County,city/county,602,BONUS 2,BONUS TOWNSHIP BUILDING,"9015 MARENGO RD,GARDEN PRAIRIE, GARDEN PRAIRIE, IL"
IL,Boone,Boone County,city/county,603,BONUS 3,DOC'S UPHOLSTERY SHOP,"6544 LOGAN AVE, BELVIDERE, IL"
IL,Boone,Boone County,city/county,701,BOONE 1,CAPRON FIRE STATION,"120 W OGDEN ST, CAPRON, IL"
IL,Boone,Boone County,city/county,702,BOONE 2,CAPRON LION'S COMMUNITY BUILDING,"305 E NORTH ST PO BOX 183, CAPRON, IL"
IL,Boone,Boone County,city/county,801,LE ROY,LE ROY TOWN HALL,"9743 BLAINE RD, CAPRON, CAPRON, IL"
IL,Boone,Boone County,city/county,901,POPLAR GROVE 1,POPLAR GROVE VILLAGE HALL,"200 HILL ST, POPLAR GROVE, IL"
IL,Boone,Boone County,city/county,902,POPLAR GROVE 2,POPLAR GROVE FIRE STATION,"ROUTE 173, POPLAR GROVE, IL"
IL,Boone,Boone County,city/county,903,POPLAR GROVE 3,POPLAR GROVE FIRE STATION,"ROUTE 173, POPLAR GROVE, IL"
IL,Brown,Brown County,city/county,101,BUCKHORN,BUCKHORN,"BUCKHORN TOWNSHIP BUILDING, 293 350E ST, MT. STERLING, IL"
IL,Brown,Brown County,city/county,201,COOPERSTOWN,COOPERSTOWN,"COOPERSTOWN TOWNSHIP HALL, 1580 850N AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,301,ELKHORN,ELKHORN,"ELKHORN TOWNSHIP HALL, 875 300N AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,401,LEE,LEE,"TIMEWELL SCHOOL GYM, 211 W NORTH ST, TIMEWELL, IL"
IL,Brown,Brown County,city/county,501,MISSOURI,MISSOURI,"MISSOURI TOWNSHIP MAINTENANCE BUILDING, RT 99 N, MT. STERLING, IL"
IL,Brown,Brown County,city/county,601,MT. STERLING 1,MT STERLING 1 AMERICAN LEGION HALL,"AMERICAN LEGION HALL, 119 N CAPITOL AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,602,MT. STERLING 2,MT STERLING 2 AMERICAN LEGION HALL,"AMERICAN LEGION HALL, 119 N CAPITOL AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,603,MT. STERLING 3,MT STERLING 3 AMERICAN LEGION HALL,"AMERICAN LEGION HALL, 119 N CAPITOL AVE, MT STERLING, IL"
IL,Brown,Brown County,city/county,604,MT. STERLING 4,MT STERLING 4 AMERICAN LEGION HALL,"AMERICAN LEGION HALL, 119 N CAPITOL AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,605,MT. STERLING 5,MT STERLING 5 AMERICAN LEGION HALL,"AMERICAN LEGION HALL, 119 N CAPITOL AVE, MT. STERLING, IL"
IL,Brown,Brown County,city/county,701,PEA RIDGE,PEA RIDGE,"PEA RIDGE TOWNSHIP MAINTENANCE BUILDING, 250 1525N AVE, TIMEWELL, IL"
IL,Brown,Brown County,city/county,801,RIPLEY,RIPLEY,"RIPLEY CHURCH OF GOD, 112 S RIPLEY ST, RIPLEY, IL"
IL,Brown,Brown County,city/county,901,VERSAILLES 1,VERSAILLES CITY HALL 901,"VERSAILLES CITY HALL, 211 CHESTNUT ST (REAR), VERSAILLES, IL"
IL,Brown,Brown County,city/county,902,VERSAILLES 2,VERSAILLES CITY HALL 901,"VERSAILLES CITY HALL, 211 CHESTNUT ST (REAR), VERSAILLES, IL"
IL,Bureau,Bureau County,city/county,101,CLARION,CLARION TOWNSHIP HALL,"33119 2735 N. AVE., LAMOILLE, IL"
IL,Bureau,Bureau County,city/county,201,LA MOILLE 1,LAMOILLE UNITED METHODIST CHURCH,"RT. 34, 73 MAIN ST., LAMOILLE, IL"
IL,Bureau,Bureau County,city/county,202,LA MOILLE 2,LAMOILLE TOWNSHIP BUILDING,"27728 2600 E ST., PO BOX 87, VAN ORIN, IL"
IL,Bureau,Bureau County,city/county,301,OHIO 1,OHIO TOWNSHIP BLDG,"308 W. LONG ST, OHIO, IL"
IL,Bureau,Bureau County,city/county,302,OHIO 2,KASBEER CHURCH HALL,"20307 2460 N AVE, KASBEER, IL"
IL,Bureau,Bureau County,city/county,401,WALNUT 1,MASONIC LODGE,"133 S. MAIN, WALNUT, IL"
IL,Bureau,Bureau County,city/county,402,WALNUT 2,MASONIC LODGE,"133 S. MAIN, WALNUT, IL"
IL,Bureau,Bureau County,city/county,501,GREENVILLE,NEW BEDFORD CHRISTIAN CHURCH HALL,"434 S. MAIN ST, NEW BEDFORD, IL"
IL,Bureau,Bureau County,city/county,601,FAIRFIELD,FAIRFIELD TOWNSHIP BUILDING,"390 IL HWY 92, Yorktown, TAMPICO, IL"
IL,Bureau,Bureau County,city/county,701,WESTFIELD 1,ARLINGTON VILLAGE HALL,"208 E. Jay St., po box 16, ARLINGTON, IL"
IL,Bureau,Bureau County,city/county,702,WESTFIELD 2,CHERRY VILLAGE HALL,"100 S. MAIN, CHERRY, IL"
IL,Bureau,Bureau County,city/county,801,BERLIN,BERLIN TOWN HALL,"SPRUCE/MAIN STREET, MALDEN, IL"
IL,Bureau,Bureau County,city/county,901,DOVER,DOVER TOWNSHIP/VILLAGE HALL,"104 W. WASHINGTON, DOVER, IL"
IL,Bureau,Bureau County,city/county,1001,BUREAU,BUREAU TWP COMMUNITY CHURCH,"19126 WYANET-WALNUT RD, PRINCETON, IL"
IL,Bureau,Bureau County,city/county,1101,MANLIUS,MANLIUS TOWNSHIP BLDG.,"227 East Maple St., MANLIUS, IL"
IL,Bureau,Bureau County,city/county,1201,GOLD,GOLD TOWNSHIP HALL,"19535 450 E. ST., SHEFFIELD, IL"
IL,Bureau,Bureau County,city/county,1301,HALL 1,SPRING VALLEY CITY HALL,"215 N. GREENWOOD, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1302,HALL 2,SPRING VALLEY CITY HALL,"215 N. GREENWOOD, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1303,HALL 3,HALL HIGH SCHOOL - AUDITORIUM,"800 W. ERIE, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1304,HALL 4,LADD COMMUNITY BUILDING,"303 S. Central Ave, LADD, IL"
IL,Bureau,Bureau County,city/county,1305,HALL 5,SEATONVILLE VILLAGE HALL,"105 N. CENTER STREET, SEATONVILLE, IL"
IL,Bureau,Bureau County,city/county,1306,HALL 6,HALL HIGH SCHOOL - AUDITORIUM,"800 W. ERIE, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1307,HALL 7,DALZELL FIRE STATION,"402 LUCY STREET, DALZELL, IL"
IL,Bureau,Bureau County,city/county,1308,HALL 8,SPRING VALLEY CITY HALL,"215 N. GREENWOOD, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1309,HALL 9,LADD COMMUNITY BUILDING,"303 S. Central Ave, LADD, IL"
IL,Bureau,Bureau County,city/county,1310,HALL 10,SPRING VALLEY CITY HALL,"215 N. GREENWOOD, SPRING VALLEY, IL"
IL,Bureau,Bureau County,city/county,1401,SELBY 1,HOLLOWAYVILLE UNITED CHURCH,"214 E. PERU ST., HOLLOWAYVILLE, IL"
IL,Bureau,Bureau County,city/county,1402,SELBY 2,DEPUE VFW HALL,"202 WEST FIRST ST, DEPUE, IL"
IL,Bureau,Bureau County,city/county,1403,SELBY 3,DEPUE VFW HALL,"202 WEST FIRST ST, DEPUE, IL"
IL,Bureau,Bureau County,city/county,1501,PRINCETON 1,BUREAU COUNTY METRO CENTER,"837 PARK AVE WEST, PRINCETON, IL"
IL,Bureau,Bureau County,city/county,1502,PRINCETON 2,BUREAU COUNTY METRO CENTER,"837 PARK AVE WEST, PRINCETON, IL"
IL,Bureau,Bureau County,city/county,1503,PRINCETON 3,PRINCETON MOOSE LODGE,"1339 N. EUCLID AVE, PRINCETON, IL"
IL,Bureau,Bureau County,city/county,1504,PRINCETON 4,PRINCETON MOOSE LODGE,"1339 N. EUCLID AVE, PRINCETON, IL"
IL,Bureau,Bureau County,city/county,1505,PRINCETON 5,PRINCETON MOOSE LODGE,"1339 N. EUCLID AVE, PRINCETON, IL"
